Team,espnBPI,Year
Duke,8,2024
Vermont,82,2024
Texas Tech,23,2024
NC State,57,2024
Kentucky,21,2024
Oakland,130,2024
Florida,25,2024
Boise State,48,2024
Colorado,44,2024
Marquette,14,2024
Western Kentucky,160,2024
North Carolina,11,2024
Howard,260,2024
Wagner,273,2024
Mississippi State,28,2024
Michigan State,18,2024
St. Mary's,15,2024
Grand Canyon,62,2024
Alabama,10,2024
Charleston,97,2024
Clemson,29,2024
New Mexico,43,2024
Baylor,13,2024
Colgate,113,2024
Dayton,32,2024
Nevada,54,2024
Arizona,5,2024
Long Beach State,172,2024
Purdue,3,2024
Grambling,291,2024
Montana State,282,2024
Utah State,68,2024
TCU,26,2024
Gonzaga,16,2024
McNeese State,53,2024
Kansas,20,2024
Samford,96,2024
South Carolina,56,2024
Oregon,61,2024
Creighton,9,2024
Akron,106,2024
Texas,22,2024
Virginia,47,2024
Colorado State,70,2024
Tennessee,7,2024
St. Peter's,196,2024
Duke,1,2025
Houston,2,2025
Auburn,3,2025
Florida,4,2025
Tennessee,5,2025
Alabama,6,2025
Iowa State,7,2025
Texas Tech,8,2025
Arizona,9,2025
Gonzaga,10,2025
Michigan State,11,2025
St. John's,12,2025
Maryland,13,2025
Kansas,14,2025
Clemson,15,2025
Connecticut,16,2025
Kentucky,17,2025
Wisconsin,18,2025
Baylor,19,2025
Marquette,20,2025
Purdue,21,2025
Texas A&M,22,2025
Illinois,23,2025
BYU,24,2025
North Carolina,25,2025
Creighton,26,2025
UCLA,27,2025
Louisville,28,2025
Michigan,29,2025
Saint Mary's,30,2025
Missouri,31,2025
Mississippi,32,2025
Texas,33,2025
VCU,34,2025
Mississippi State,35,2025
Oregon,36,2025
Georgia,38,2025
Xavier,39,2025
Arkansas,42,2025
Oklahoma,43,2025
Utah State,44,2025
Memphis,46,2025
New Mexico,49,2025
Colorado State,53,2025
San Diego State,54,2025
Vanderbilt,56,2025
UC San Diego,57,2025
McNeese State,66,2025
Yale,68,2025
Drake,73,2025
High Point,81,2025
Liberty,85,2025
Grand Canyon,87,2025
Lipscomb,106,2025
Troy,109,2025
NC Wilmington,111,2025
Akron,112,2025
Bryant,131,2025
Wofford,139,2025
Robert Morris,168,2025
Norfolk State,171,2025
Montana,173,2025
Omaha,211,2025
American,227,2025
Mount St. Mary's,239,2025
SIU Edwardsville,240,2025
Alabama State,275,2025
Saint Francis (PA),307,2025
