Team,BPI,BPI_Rk,Off,Def,Year
SOU,-5.2,261,-3.6,-1.6,2026
BRWN,-5.4,262,-6.7,1.3,2026
HAMP,-5.5,263,-4.6,-0.9,2026
UTEP,-5.6,264,-5.1,-0.5,2026
PRES,-5.7,265,-4.1,-1.6,2026
JAX,-5.7,266,-3.3,-2.3,2026
CP,-5.7,267,-2.3,-3.4,2026
DEN,-5.8,268,1.3,-7.1,2026
TAR,-5.8,269,-6.4,0.6,2026
BALL,-5.9,270,-5.9,0.0,2026
EKU,-5.9,271,-0.6,-5.2,2026
NORF,-6.0,272,-3.5,-2.5,2026
PORT,-6.1,273,-3.8,-2.4,2026
UNCG,-6.3,274,-1.3,-5.0,2026
ACU,-6.3,275,-6.6,0.3,2026
OMA,-6.4,276,-2.5,-3.8,2026
MSM,-6.5,277,-6.6,0.1,2026
NE,-6.6,278,-1.7,-4.8,2026
LBSU,-6.6,279,-4.6,-2.0,2026
SHU,-6.7,280,-1.8,-5.0,2026
SELA,-6.8,281,-6.4,-0.3,2026
UCR,-6.8,282,-4.5,-2.3,2026
CMU,-6.9,283,-3.3,-3.6,2026
MERC,-6.9,284,-6.2,-0.7,2026
UND,-7.0,285,-3.1,-3.9,2026
CCSU,-7.0,286,-2.8,-4.1,2026
PEPP,-7.0,287,-3.9,-3.2,2026
LEH,-7.1,288,-5.2,-1.9,2026
DEL,-7.2,289,-3.3,-3.9,2026
NWST,-7.3,290,-4.5,-2.8,2026
MORE,-7.4,291,-2.4,-5.0,2026
BELL,-7.6,292,2.1,-9.6,2026
SUU,-7.7,293,-4.1,-3.6,2026
GAST,-7.7,294,-6.4,-1.3,2026
GRAM,-7.8,295,-8.2,0.5,2026
WMU,-7.8,296,-3.1,-4.7,2026
UPST,-7.8,297,-6.5,-1.3,2026
UALB,-7.8,298,-3.8,-4.0,2026
LEM,-7.9,299,-4.8,-3.0,2026
IDST,-7.9,300,-2.1,-5.8,2026
NCAT,-8.0,301,-3.7,-4.3,2026
SAC,-8.1,302,-4.7,-3.4,2026
ETAM,-8.2,303,-6.4,-1.7,2026
LR,-8.3,304,-5.0,-3.3,2026
TXSO,-8.3,305,-5.9,-2.5,2026
EVAN,-8.4,306,-6.4,-2.0,2026
UML,-8.4,307,-3.6,-4.8,2026
PV,-8.5,308,-6.5,-2.1,2026
UL,-8.6,309,-6.5,-2.1,2026
SDAK,-8.6,310,-3.4,-5.2,2026
L-MD,-8.8,311,-3.9,-4.9,2026
LAF,-8.9,312,-6.0,-2.9,2026
HCU,-9.1,313,-5.6,-3.5,2026
CLE,-9.1,314,-1.7,-7.4,2026
IUIN,-9.2,315,-2.8,-6.4,2026
WGA,-9.2,316,-5.7,-3.5,2026
NAU,-9.3,317,-4.2,-5.1,2026
TNTC,-9.4,318,-5.6,-3.8,2026
UTSA,-9.4,319,-5.9,-3.5,2026
FAMU,-9.4,320,-7.3,-2.1,2026
ORU,-9.4,321,-6.0,-3.4,2026
MAN,-9.5,322,-3.0,-6.6,2026
NHVN,-9.8,323,-8.6,-1.2,2026
ALST,-9.8,324,-6.5,-3.3,2026
WAG,-9.8,325,-6.6,-3.3,2026
AAMU,-10.0,326,-5.8,-4.2,2026
STO,-10.1,327,-9.6,-0.4,2026
EIU,-10.1,328,-8.5,-1.6,2026
FDU,-10.1,329,-6.2,-4.0,2026
CSUB,-10.2,330,-5.7,-4.5,2026
ME,-10.3,331,-9.6,-0.7,2026
UAPB,-10.3,332,-5.1,-5.2,2026
HC,-10.8,333,-6.1,-4.6,2026
STET,-10.8,334,-4.5,-6.3,2026
NIU,-10.8,335,-7.4,-3.4,2026
UNF,-10.9,336,-2.2,-8.7,2026
BUCK,-10.9,337,-7.2,-3.7,2026
UNA,-10.9,338,-5.4,-5.5,2026
NJIT,-11.5,339,-8.7,-2.7,2026
ARMY,-11.6,340,-6.0,-5.5,2026
UNH,-11.8,341,-8.7,-3.1,2026
USI,-12.1,342,-8.7,-3.4,2026
NCCU,-12.3,343,-6.3,-6.0,2026
UMES,-12.4,344,-9.5,-2.9,2026
SFPA,-12.9,345,-6.8,-6.1,2026
NIA,-12.9,346,-7.0,-5.8,2026
CHST,-12.9,347,-6.8,-6.1,2026
BRY,-13.0,348,-8.2,-4.9,2026
CAN,-13.1,349,-9.2,-3.9,2026
JKST,-13.3,350,-7.5,-5.8,2026
MORG,-13.5,351,-6.6,-6.8,2026
CIT,-13.8,352,-6.4,-7.4,2026
ULM,-14.1,353,-7.1,-7.0,2026
VMI,-14.2,354,-6.9,-7.3,2026
AF,-14.3,355,-9.9,-4.3,2026
ALCN,-14.4,356,-8.6,-5.8,2026
BING,-14.4,357,-7.6,-6.9,2026
RID,-14.9,358,-8.6,-6.4,2026
SCST,-15.4,359,-10.1,-5.3,2026
KC,-15.4,360,-10.6,-4.8,2026
DSU,-16.0,361,-13.0,-3.0,2026
WIU,-17.4,362,-10.2,-7.2,2026
GWEB,-17.4,363,-9.2,-8.2,2026
COPP,-18.7,364,-11.9,-6.8,2026
MVSU,-23.7,365,-14.1,-9.6,2026
