Year,Region,Round,TeamA,SeedA,ScoreA,TeamB,SeedB,ScoreB,Winner,Location
2010,West,S16,Syracuse,1,59,Butler,5,63,Butler,"Salt Lake City, UT"
2010,West,S16,Xavier,6,96,Kansas State,2,101,Kansas State,"Salt Lake City, UT"
2010,West,E8,Butler,5,63,Kansas State,2,56,Butler,"Salt Lake City, UT"
2010,National,F4,Duke,1,78,West Virginia,2,57,Duke,"Indianapolis, IN"
2010,National,F4,Michigan State,5,50,Butler,5,52,Butler,"Indianapolis, IN"
2010,National,Championship,Duke,1,61,Butler,5,59,Duke,"Indianapolis, IN"
2011,East,R64,Ohio State,1,75,UTSA,16,46,Ohio State,"Cleveland, OH"
2011,East,R64,George Mason,8,61,Villanova,9,57,George Mason,"Cleveland, OH"
2011,East,R64,West Virginia,5,84,Clemson,12,76,West Virginia,"Tampa, FL"
2011,East,R64,Kentucky,4,59,Princeton,13,57,Kentucky,"Tampa, FL"
2011,East,R64,Xavier,6,55,Marquette,11,66,Marquette,"Cleveland, OH"
2011,East,R64,Syracuse,3,77,Indiana State,14,60,Syracuse,"Cleveland, OH"
2011,East,R64,Washington,7,68,Georgia,10,65,Washington,"Charlotte, NC"
2011,East,R64,UNC,2,102,LIU,15,87,UNC,"Charlotte, NC"
2011,East,R32,Ohio State,1,98,George Mason,8,66,Ohio State,"Cleveland, OH"
2011,East,R32,West Virginia,5,63,Kentucky,4,71,Kentucky,"Tampa, FL"
2011,East,R32,Marquette,11,66,Syracuse,3,62,Marquette,"Cleveland, OH"
2011,East,R32,Washington,7,83,UNC,2,86,UNC,"Charlotte, NC"
2011,East,S16,Ohio State,1,60,Kentucky,4,62,Kentucky,"Newark, NJ"
2011,East,S16,Marquette,11,63,UNC,2,81,UNC,"Newark, NJ"
2011,East,E8,Kentucky,4,76,UNC,2,69,Kentucky,"Newark, NJ"
2011,Midwest,R64,Pitt,1,74,UNC Asheville,16,51,Pitt,"Washington, DC"
2011,Midwest,R64,Butler,8,60,Old Dominion,9,58,Butler,"Washington, DC"
2011,Midwest,R64,Kansas State,5,73,Utah State,12,68,Kansas State,"Tucson, AZ"
2011,Midwest,R64,Wisconsin,4,72,Belmont,13,58,Wisconsin,"Tucson, AZ"
2011,Midwest,R64,St. John's (NY),6,71,Gonzaga,11,86,Gonzaga,"Denver, CO"
2011,Midwest,R64,BYU,3,74,Wofford,14,66,BYU,"Denver, CO"
2011,Midwest,R64,UCLA,7,78,Michigan State,10,76,UCLA,"Tampa, FL"
2011,Midwest,R64,Florida,2,79,UCSB,15,51,Florida,"Tampa, FL"
2011,Midwest,R32,Pitt,1,70,Butler,8,71,Butler,"Washington, DC"
2011,Midwest,R32,Kansas State,5,65,Wisconsin,4,70,Wisconsin,"Tucson, AZ"
2011,Midwest,R32,Gonzaga,11,67,BYU,3,89,BYU,"Denver, CO"
2011,Midwest,R32,UCLA,7,65,Florida,2,73,Florida,"Tampa, FL"
2011,Midwest,S16,Butler,8,61,Wisconsin,4,54,Butler,"New Orleans, LA"
2011,Midwest,S16,BYU,3,74,Florida,2,83,Florida,"New Orleans, LA"
2011,Midwest,E8,Butler,8,74,Florida,2,71,Butler,"New Orleans, LA"
2011,South,R64,Kansas,1,72,Boston University,16,53,Kansas,"Tulsa, OK"
2011,South,R64,UNLV,8,62,Illinois,9,73,Illinois,"Tulsa, OK"
2011,South,R64,Vanderbilt,5,66,Richmond,12,69,Richmond,"Denver, CO"
2011,South,R64,Louisville,4,61,Morehead State,13,62,Morehead State,"Denver, CO"
2011,South,R64,Georgetown,6,56,VCU,11,74,VCU,"Chicago, IL"
2011,South,R64,Purdue,3,65,St. Peter's,14,43,Purdue,"Chicago, IL"
2011,South,R64,Texas A&M,7,50,Florida State,10,57,Florida State,"Chicago, IL"
2011,South,R64,Notre Dame,2,69,Akron,15,56,Notre Dame,"Chicago, IL"
2011,South,R32,Kansas,1,73,Illinois,9,59,Kansas,"Tulsa, OK"
2011,South,R32,Richmond,12,65,Morehead State,13,48,Richmond,"Denver, CO"
2011,South,R32,VCU,11,94,Purdue,3,76,VCU,"Chicago, IL"
2011,South,R32,Florida State,10,71,Notre Dame,2,57,Florida State,"Chicago, IL"
2011,South,S16,Kansas,1,77,Richmond,12,57,Kansas,"San Antonio, TX"
2011,South,S16,VCU,11,72,Florida State,10,71,VCU,"San Antonio, TX"
2011,South,E8,Kansas,1,61,VCU,11,71,VCU,"San Antonio, TX"
2011,West,R64,Duke,1,87,Hampton,16,45,Duke,"Charlotte, NC"
2011,West,R64,Michigan,8,75,Tennessee,9,45,Michigan,"Charlotte, NC"
2011,West,R64,Arizona,5,77,Memphis,12,75,Arizona,"Tulsa, OK"
2011,West,R64,Texas,4,85,Oakland,13,81,Texas,"Tulsa, OK"
2011,West,R64,Cincinnati,6,78,Missouri,11,63,Cincinnati,"Washington, DC"
2011,West,R64,UConn,3,81,Bucknell,14,52,UConn,"Washington, DC"
2011,West,R64,Temple,7,66,Penn State,10,64,Temple,"Tucson, AZ"
2011,West,R64,San Diego State,2,68,Northern Colorado,15,50,San Diego State,"Tucson, AZ"
