Year,Region,Round,TeamA,TeamA_ID,SeedA,ScoreA,TeamB,TeamB_ID,SeedB,ScoreB,Winner,TeamA_Won,SeedDiff,IsUpset,MarginOfVictory,TotalPoints,Location
2010,West,R32,Butler,35,5,54,Murray State,195,13,52,Butler,1,8,0,2,106,"San Jose, CA"
2010,West,R32,Xavier,379,6,71,Pitt,241,3,68,Xavier,1,-3,1,3,139,"Milwaukee, WI"
2010,West,R32,BYU,19,7,72,Kansas State,139,2,84,Kansas State,0,-5,0,12,156,"Oklahoma City, OK"
2010,West,S16,Syracuse,303,1,59,Butler,35,5,63,Butler,0,4,1,4,122,"Salt Lake City, UT"
2010,West,S16,Xavier,379,6,96,Kansas State,139,2,101,Kansas State,0,-4,0,5,197,"Salt Lake City, UT"
2010,West,E8,Butler,35,5,63,Kansas State,139,2,56,Butler,1,-3,1,7,119,"Salt Lake City, UT"
2010,National,F4,Duke,76,1,78,West Virginia,365,2,57,Duke,1,1,0,21,135,"Indianapolis, IN"
2010,National,F4,Michigan State,180,5,50,Butler,35,5,52,Butler,0,0,0,2,102,"Indianapolis, IN"
2010,National,Championship,Duke,76,1,61,Butler,35,5,59,Duke,1,4,0,2,120,"Indianapolis, IN"
2011,East,R64,Ohio State,229,1,75,UTSA,345,16,46,Ohio State,1,15,0,29,121,"Cleveland, OH"
2011,East,R64,George Mason,101,8,61,Villanova,355,9,57,George Mason,1,1,0,4,118,"Cleveland, OH"
2011,East,R64,West Virginia,365,5,84,Clemson,55,12,76,West Virginia,1,7,0,8,160,"Tampa, FL"
2011,East,R64,Kentucky,142,4,59,Princeton,246,13,57,Kentucky,1,9,0,2,116,"Tampa, FL"
2011,East,R64,Xavier,379,6,55,Marquette,166,11,66,Marquette,0,5,1,11,121,"Cleveland, OH"
2011,East,R64,Syracuse,303,3,77,Indiana State,130,14,60,Syracuse,1,11,0,17,137,"Cleveland, OH"
2011,East,R64,Washington,360,7,68,Georgia,104,10,65,Washington,1,3,0,3,133,"Charlotte, NC"
2011,East,R64,UNC,211,2,102,LIU,143,15,87,UNC,1,13,0,15,189,"Charlotte, NC"
2011,East,R32,Ohio State,229,1,98,George Mason,101,8,66,Ohio State,1,7,0,32,164,"Cleveland, OH"
2011,East,R32,West Virginia,365,5,63,Kentucky,142,4,71,Kentucky,0,-1,0,8,134,"Tampa, FL"
2011,East,R32,Marquette,166,11,66,Syracuse,303,3,62,Marquette,1,-8,1,4,128,"Cleveland, OH"
2011,East,R32,Washington,360,7,83,UNC,211,2,86,UNC,0,-5,0,3,169,"Charlotte, NC"
2011,East,S16,Ohio State,229,1,60,Kentucky,142,4,62,Kentucky,0,3,1,2,122,"Newark, NJ"
2011,East,S16,Marquette,166,11,63,UNC,211,2,81,UNC,0,-9,0,18,144,"Newark, NJ"
2011,East,E8,Kentucky,142,4,76,UNC,211,2,69,Kentucky,1,-2,1,7,145,"Newark, NJ"
2011,Midwest,R64,Pitt,241,1,74,UNC Asheville,335,16,51,Pitt,1,15,0,23,125,"Washington, DC"
2011,Midwest,R64,Butler,35,8,60,Old Dominion,232,9,58,Butler,1,1,0,2,118,"Washington, DC"
2011,Midwest,R64,Kansas State,139,5,73,Utah State,347,12,68,Kansas State,1,7,0,5,141,"Tucson, AZ"
2011,Midwest,R64,Wisconsin,374,4,72,Belmont,23,13,58,Wisconsin,1,9,0,14,130,"Tucson, AZ"
2011,Midwest,R64,St. John's (NY),296,6,71,Gonzaga,108,11,86,Gonzaga,0,5,1,15,157,"Denver, CO"
2011,Midwest,R64,BYU,19,3,74,Wofford,376,14,66,BYU,1,11,0,8,140,"Denver, CO"
2011,Midwest,R64,UCLA,331,7,78,Michigan State,180,10,76,UCLA,1,3,0,2,154,"Tampa, FL"
2011,Midwest,R64,Florida,91,2,79,UCSB,329,15,51,Florida,1,13,0,28,130,"Tampa, FL"
2011,Midwest,R32,Pitt,241,1,70,Butler,35,8,71,Butler,0,7,1,1,141,"Washington, DC"
2011,Midwest,R32,Kansas State,139,5,65,Wisconsin,374,4,70,Wisconsin,0,-1,0,5,135,"Tucson, AZ"
2011,Midwest,R32,Gonzaga,108,11,67,BYU,19,3,89,BYU,0,-8,0,22,156,"Denver, CO"
2011,Midwest,R32,UCLA,331,7,65,Florida,91,2,73,Florida,0,-5,0,8,138,"Tampa, FL"
2011,Midwest,S16,Butler,35,8,61,Wisconsin,374,4,54,Butler,1,-4,1,7,115,"New Orleans, LA"
2011,Midwest,S16,BYU,19,3,74,Florida,91,2,83,Florida,0,-1,0,9,157,"New Orleans, LA"
2011,Midwest,E8,Butler,35,8,74,Florida,91,2,71,Butler,1,-6,1,3,145,"New Orleans, LA"
2011,South,R64,Kansas,138,1,72,Boston University,28,16,53,Kansas,1,15,0,19,125,"Tulsa, OK"
2011,South,R64,UNLV,338,8,62,Illinois,125,9,73,Illinois,0,1,1,11,135,"Tulsa, OK"
2011,South,R64,Vanderbilt,353,5,66,Richmond,255,12,69,Richmond,0,7,1,3,135,"Denver, CO"
2011,South,R64,Louisville,159,4,61,Morehead State,192,13,62,Morehead State,0,9,1,1,123,"Denver, CO"
2011,South,R64,Georgetown,103,6,56,VCU,350,11,74,VCU,0,5,1,18,130,"Chicago, IL"
2011,South,R64,Purdue,248,3,65,St. Peter's,267,14,43,Purdue,1,11,0,22,108,"Chicago, IL"
2011,South,R64,Texas A&M,313,7,50,Florida State,96,10,57,Florida State,0,3,1,7,107,"Chicago, IL"
2011,South,R64,Notre Dame,226,2,69,Akron,3,15,56,Notre Dame,1,13,0,13,125,"Chicago, IL"
2011,South,R32,Kansas,138,1,73,Illinois,125,9,59,Kansas,1,8,0,14,132,"Tulsa, OK"
2011,South,R32,Richmond,255,12,65,Morehead State,192,13,48,Richmond,1,1,0,17,113,"Denver, CO"
2011,South,R32,VCU,350,11,94,Purdue,248,3,76,VCU,1,-8,1,18,170,"Chicago, IL"
2011,South,R32,Florida State,96,10,71,Notre Dame,226,2,57,Florida State,1,-8,1,14,128,"Chicago, IL"
2011,South,S16,Kansas,138,1,77,Richmond,255,12,57,Kansas,1,11,0,20,134,"San Antonio, TX"
2011,South,S16,VCU,350,11,72,Florida State,96,10,71,VCU,1,-1,1,1,143,"San Antonio, TX"
2011,South,E8,Kansas,138,1,61,VCU,350,11,71,VCU,0,10,1,10,132,"San Antonio, TX"
2011,West,R64,Duke,76,1,87,Hampton,112,16,45,Duke,1,15,0,42,132,"Charlotte, NC"
2011,West,R64,Michigan,179,8,75,Tennessee,308,9,45,Michigan,1,1,0,30,120,"Charlotte, NC"
2011,West,R64,Arizona,11,5,77,Memphis,172,12,75,Arizona,1,7,0,2,152,"Tulsa, OK"
