Year,Player,Team,Seed,Bid,Points
2023,Luke,Iowa State,6,6,0
2023,Luke,Vermont,15,1,0
2023,Luke,Kentucky,6,18,2
2023,Luke,Miami,5,10,28
2023,Luke,Baylor,3,14,2
2022,Ryan,Tennessee,3,25,2
2022,Ryan,Texas Tech,3,22,6
2022,Ryan,Indiana,12,8,1
2022,Ryan,Michigan,11,9,19
2022,Ryan,Montana State,14,2,0
2022,Ryan,San Francisco,10,3,0
2022,Ryan,Notre Dame,11,3,8
2022,Ryan,San Diego State,8,2,0
2022,Ryan,South Dakota State,13,2,0
2022,Ryan,TCU,9,2,3
2022,Ryan,UAB,12,1,0
2022,Ryan,UCLA,4,11,6
2022,Ryan,Virginia Tech,11,10,0
2022,Ben,Yale,14,2,0
2022,Ben,Kansas,1,37,42
2022,Ben,Iowa State,11,6,19
2022,Ben,Providence,4,10,6
2022,Ben,Baylor,1,30,2
2022,Ben,Delaware,15,1,0
2022,Ben,Longwood,14,2,0
2022,Ben,Rutgers,0,5,0
2022,Ben,Davidson,10,7,0
2022,JT,Wisconsin,3,18,2
2022,JT,Boise State,8,5,0
2022,JT,Creighton,9,4,3
2022,JT,Loyola Chicago,10,8,0
2022,JT,Kentucky,2,49,0
2022,JT,Marquette,9,5,0
2022,JT,CS Fullerton,15,2,0
2022,JT,Ohio State,7,9,2
2022,Justin,Purdue,3,23,6
2022,Justin,Houston,5,24,17
2022,Justin,Alabama,6,6,0
2022,Justin,Auburn,2,25,2
2022,Justin,Jacksonville State,15,1,0
2022,Justin,Saint Mary's,5,7,2
2022,Justin,Texas,6,4,2
2022,Justin,USC,7,1,0
2022,Justin,Vermont,13,1,0
2022,Stoner,Akron,13,3,0
2022,Stoner,Chattanooga,13,4,0
2022,Stoner,Murray State,7,6,2
2022,Stoner,Richmond,12,5,9
2022,Stoner,Duke,2,23,20
2022,Stoner,LSU,6,25,0
2022,Stoner,North Carolina,8,9,47
2022,Stoner,Villanova,2,19,20
2022,Stoner,Seton Hall,8,4,0
2022,Stoner,New Mexico State,12,2,9
2022,Travis,Memphis,9,9,3
2022,Travis,Arizona,1,49,6
2022,Travis,Iowa,5,20,0
2022,Travis,Arkansas,4,18,15
2022,Travis,Colgate,14,4,0
2022,Sam,Illinois,4,12,2
2022,Sam,Colorado State,6,7,0
2022,Sam,Connecticut,5,11,0
2022,Sam,Michigan State,7,6,2
2022,Sam,Gonzaga,1,59,6
2022,Sam,Miami,10,4,24
2022,Sam,St. Peter's,15,1,45
