,pct_diff_bartTorvik_Rk,pct_diff_bartTorvik_G,pct_diff_bartTorvik_Wins_Overall,pct_diff_bartTorvik_AdjOE,pct_diff_bartTorvik_AdjDE,pct_diff_bartTorvik_Barthag,pct_diff_bartTorvik_EFG%,pct_diff_bartTorvik_EFGD%,pct_diff_bartTorvik_TOR,pct_diff_bartTorvik_TORD,pct_diff_bartTorvik_ORB,pct_diff_bartTorvik_DRB,pct_diff_bartTorvik_FTR,pct_diff_bartTorvik_FTRD,pct_diff_bartTorvik_2P%,pct_diff_bartTorvik_2P%D,pct_diff_bartTorvik_3P%,pct_diff_bartTorvik_3P%D,pct_diff_bartTorvik_3PR,pct_diff_bartTorvik_3PRD,pct_diff_bartTorvik_Adj T.,pct_diff_bartTorvik_WAB,pct_diff_kenpom_Rk,pct_diff_kenpom_NetRtg,pct_diff_kenpom_ORtg,pct_diff_kenpom_ORtg_Rank,pct_diff_kenpom_DRtg,pct_diff_kenpom_DRtg_Rank,pct_diff_kenpom_AdjT,pct_diff_kenpom_AdjT_Rank,pct_diff_kenpom_Luck,pct_diff_kenpom_Luck_Rank,pct_diff_kenpom_SOS_NetRtg,pct_diff_kenpom_SOS_NetRtg_Rank,pct_diff_kenpom_SOS_ORtg,pct_diff_kenpom_SOS_ORtg_Rank,pct_diff_kenpom_SOS_DRtg,pct_diff_kenpom_SOS_DRtg_Rank,pct_diff_kenpom_NCSOS_NetRtg,pct_diff_kenpom_NCSOS_NetRtg_Rank,pct_diff_BPI,pct_diff_BPI_Rank,pct_diff_BPI_Off,pct_diff_BPI_Def,pct_diff_masseyComposite_Rank
pct_diff_bartTorvik_ORB,0.25891377609642674,0.1128706401375829,0.20361546311600964,0.21244086833603376,-0.26677799949197134,0.2664024743493532,-0.23291128316122825,-0.21254390429888004,0.3346471942131306,0.14140842243110502,1.0,0.121549666390521,0.25099332138327785,0.18104741647966305,-0.13812198103093953,-0.21276164840146428,-0.23771000830999986,-0.10297383833273885,-0.3886385826067693,0.03477423179079312,0.15616921337064693,-0.061149364322403206,0.25518081008916565,0.27512185870723216,0.2120766293198153,0.19194786540587805,-0.26700709894747543,0.2526997936612436,0.13610592566981172,0.13297695148025881,-0.013130546127940759,-0.12331029494027193,0.020068046391295367,0.19230143714026118,0.2055562181327217,0.17659529794117393,-0.22234375065459763,0.2041345331145862,-0.012292076463857325,0.05128245096023819,0.2771401486352771,0.2606494618502041,0.07941288800424143,0.03484934063628269,0.25254632522180637
pct_diff_bartTorvik_DRB,-0.14819464733559098,0.07059770137576231,-0.21863963470016862,-0.09485425037544895,0.14809829879759756,-0.14533793140962917,-0.22061201110996562,0.06962375828261097,0.15100776793083273,0.41645377300628034,0.121549666390521,1.0,0.0598400818784687,0.24036823648890024,-0.2135267669980588,0.09764213409875223,-0.13370253779005872,-0.023213921352849384,-0.027712322866074394,0.06533482384666538,0.21450953886811625,0.024693722716701654,-0.1430113920691044,-0.1438294072106684,-0.10210151735668827,-0.09228611840051819,0.13030912933856745,-0.15096477467284353,0.2138150654594598,0.22046607477926156,-0.044564210500886145,0.006117453250185299,0.007432635654884518,0.00662953263592146,0.04235549264817205,-0.013102012104618317,-0.10712510920260084,0.04051538174499608,0.008192737203694947,-0.11615187289104084,-0.1322888035739283,-0.13091033984297443,0.014049954878884746,0.02885392373772417,-0.13546934020206408
pct_diff_bartTorvik_FTR,-0.050042616540888894,-0.003619288102155568,0.030236709959396906,-0.09775204540276682,-0.011130397754199299,-0.05726550800515166,-0.17268628221073007,-0.06133164713833585,0.36049998433987657,0.029272452351481914,0.25099332138327785,0.0598400818784687,1.0,0.20777708901303105,-0.09080437554986924,-0.045163218605115636,-0.19155157310178647,-0.053934208538270176,-0.26859357149335883,0.04386667654939654,0.1930230649706892,-0.029071584285955042,-0.05400842472134947,-0.05166789167890233,-0.10666577292911493,-0.08446119558995155,-0.02173003877128534,0.01852839133732547,0.1960561048760623,0.2145104935195317,-0.07544068078011908,0.11789688468434523,-0.03414770508781613,-0.02886360175399219,-0.02097587475086472,-0.03593182941927073,0.019243887899543503,-0.018102956313310818,0.00863122576978899,0.07074890495296003,-0.058788584292303075,-0.057676179346270076,0.016265831976814343,0.02931358257941909,-0.021247489670429026
pct_diff_bartTorvik_FTRD,-0.1870747605556807,-0.09358356544675946,-0.245658668180129,-0.32512730477889673,0.003465190703729417,-0.19132915672822476,-0.37248250003865035,0.006313413947597174,0.2921471622334688,0.5022123351057467,0.18104741647966305,0.24036823648890024,0.20777708901303105,1.0,-0.3472372515549438,0.033173590595740265,-0.23811643485259923,-0.05606501352446248,-0.05582246304420728,0.11461358218627977,0.09627881863967322,0.03718118564042584,-0.19171426479792456,-0.20929185010530524,-0.33038150560689383,-0.2633064708441837,0.0025642950802798273,-0.034626024289915576,0.10457916229862817,0.1206779701264554,-0.01306881365252828,-0.027144138954354573,-0.03872871761896041,-0.12308067960329211,-0.11707849880985426,-0.12791302414836714,0.09314214023913234,-0.10049253226117864,0.04036821691263322,-0.012082272261285087,-0.21191886266124643,-0.19869524890051204,-0.02234413764014724,0.029454099445558556,-0.20996486705415554
pct_diff_bartTorvik_2P%,0.3127210793867304,0.016046750023807402,0.4230462445857354,0.5331325514330549,-0.006062467255660671,0.3183564787742348,0.8605357442026421,-0.02912023286676181,-0.13127153471885805,-0.2295909859060711,-0.13812198103093953,-0.2135267669980588,-0.09080437554986924,-0.3472372515549438,1.0,-0.037596577772910804,0.2851054691271272,0.00952335188791818,0.18749686458498407,-0.10495179351239571,0.1885723555870954,0.012154653438371837,0.31567001312673526,0.3341351605795613,0.5366438978619916,0.439193696866641,0.0011380543503551122,0.04612576493924818,0.1850709032253903,0.177555214978101,-0.005735919024111875,-0.061504834784548136,0.013321485900776118,0.07650287596107605,0.05159290190227354,0.09630199536031596,0.004721350922194587,0.03182435648839613,0.008816506978952442,0.032965946951691576,0.33793024546555944,0.3206741002374719,0.08236845639500984,-0.04389441602657697,0.3181854984576255
pct_diff_bartTorvik_2P%D,-0.31941066029689424,-0.07660927858228268,-0.3716949080216687,-0.04435430642613788,0.620984245709891,-0.3304714118165536,0.02064948464021191,0.8872598845049802,-0.0944497471956845,0.060634857894223404,-0.21276164840146428,0.09764213409875223,-0.045163218605115636,0.033173590595740265,-0.037596577772910804,1.0,0.06649460422979775,0.20033891046061306,0.1904725703033419,0.13719171016714124,0.1486380861937562,0.020305966905201426,-0.30642352459370603,-0.34424594903565964,-0.04277960101265933,-0.05876590926548975,0.6203483825368307,-0.510775262327808,0.1627068673240303,0.1500197882115031,-0.0014462892534260617,0.12342595964122179,-0.015651228941135655,-0.1606648701889164,-0.08818534546727523,-0.13189814670065442,0.1199389629472414,-0.1808054846182862,-0.07158792430533131,-0.03775922809988633,-0.3440554866359422,-0.3131882506301717,-0.03282813638851268,-0.10050408912232553,-0.2935878909236014
pct_diff_bartTorvik_3P%,0.1674102944115124,-0.08240427896531072,0.1948054923443183,0.46228379112474344,0.1673128346475747,0.16971935515188452,0.7252776129755167,0.10184187976048309,-0.21549820108395845,-0.2549120679251034,-0.23771000830999986,-0.13370253779005872,-0.19155157310178647,-0.23811643485259923,0.2851054691271272,0.06649460422979775,1.0,0.10350798685785546,0.24654975275362814,-0.05173949260904302,-0.016950069780074947,0.028989574775817945,0.17103824240920587,0.17954550491212215,0.44598099666530144,0.3535377854619705,0.16708269415114455,-0.12949914745041818,-0.019133718603253993,-0.009616947269514477,-0.006558125920569542,-0.044847368120963356,0.028897296493867717,0.010455992025552406,0.0005217973654095342,0.03299769679912835,0.011664151508659291,-0.01852009470506718,-0.0659181807261878,-0.03997665560269803,0.17845616472828965,0.17197165361223263,0.05725966723270526,-0.0074367262754803315,0.1397969213715306
pct_diff_bartTorvik_3P%D,-0.18970904756125503,0.0061008787270873804,-0.2744520530443331,0.05254102453522922,0.49088741170015315,-0.20231040722888805,0.06333416511679461,0.6225741030298375,-0.08102239736668584,-0.12738417424660742,-0.10297383833273885,-0.023213921352849384,-0.053934208538270176,-0.05606501352446248,0.00952335188791818,0.20033891046061306,0.10350798685785546,1.0,0.05966824628173545,0.012706533575506229,0.0005767616377642579,0.032604597515715095,-0.17040054491932916,-0.19282512140957214,0.0569852091525279,0.040023525290149214,0.45971953131460097,-0.36526353262469563,0.01605430274880823,0.023712646229062533,-0.031490429562704314,-0.015181782426742205,-0.05770753738968761,-0.04760192098858092,-0.010248648094291836,-0.044711137575836786,0.031176765428817973,-0.049391290580093394,0.0029632035686810642,-0.04816642553183743,-0.18360852397455074,-0.16747166630577678,0.010220833005835825,-0.04776529557938765,-0.18519800680274626
pct_diff_bartTorvik_3PR,-0.0070012883279372985,0.006592563388753978,0.01493842721509421,0.11709184137973272,0.18330310666370167,-0.011340053567629354,0.2893209166071366,0.175539203946529,-0.1956741613893583,-0.05550310071776202,-0.3886385826067693,-0.027712322866074394,-0.26859357149335883,-0.05582246304420728,0.18749686458498407,0.1904725703033419,0.24654975275362814,0.05966824628173545,1.0,-0.07128947113165568,-0.11431798113544733,0.024751516222870713,0.0033633749398460084,-0.004119888174669703,0.1293548844088084,0.10140944364357758,0.1742683343630962,-0.15213930480224416,-0.11359746684775082,-0.10516053113362134,0.01819156476291598,0.00924466757812431,-0.02706033670181987,-0.046437259530317986,-0.06139761327928932,-0.03949679360475713,0.04850057119298061,-0.046656435703641856,-0.0359624699869127,-0.027835916168546828,-0.005106746789065877,-0.00031671583013597734,-0.017431006493684252,-0.0015954510867753633,0.0016953317657385193
pct_diff_bartTorvik_3PRD,-0.04984075226631376,0.010112439377917958,-0.12080614022073285,-0.07652155280466681,0.03948016660251467,-0.04715874806299456,-0.10030021249876649,0.1493992846788975,0.1455435322731737,0.1809895109132126,0.03477423179079312,0.06533482384666538,0.04386667654939654,0.11461358218627977,-0.10495179351239571,0.13719171016714124,-0.05173949260904302,0.012706533575506229,-0.07128947113165568,1.0,-0.016591760020213252,0.04032137415126623,-0.052541189011793867,-0.06218102562677048,-0.08169372155808559,-0.0406966435977121,0.03874729772457667,-0.05057658500385007,-0.010996317040642179,-0.00015835491543254304,0.010574797036982426,0.05401920091750433,0.02334967057678914,0.02548417506273731,0.057513129073207554,0.029940652252772714,-0.043251896043503976,0.02433365731681042,-0.002955990707277914,-0.05172230973529672,-0.0550636074712254,-0.04585523401329935,-0.045048777873254765,-0.0423043271146602,-0.0328371351591849
pct_diff_bartTorvik_Adj T.,0.029303082903025184,0.09909698314154548,0.08441514623364364,0.13635283563793618,0.09607690297112594,0.032354054126392987,0.12419363129923845,0.12107308082557061,0.081396570789544,0.061238961719985704,0.15616921337064693,0.21450953886811625,0.1930230649706892,0.09627881863967322,0.1885723555870954,0.1486380861937562,-0.016950069780074947,0.0005767616377642579,-0.11431798113544733,-0.016591760020213252,1.0,0.009848315959456209,0.028198186561389765,0.0345632564047796,0.13544607905902767,0.09928879694160866,0.103577619144276,-0.07574741592916838,0.9924624820971444,0.9288721112555649,-0.016260932109773377,-0.026073972997231274,0.022256364773365282,0.026586045118541807,0.0371550144935789,0.02494967287006585,-0.04387868245516248,0.027481898171607722,0.037078908468450154,0.06874752340261198,0.042623122960628895,0.03512123363719327,0.07979581507888703,-0.05869904530149646,0.0676899373889425
pct_diff_bartTorvik_WAB,-0.019457868158699137,-0.016807084751432513,-0.032362611773994285,0.0011894570790157942,0.051639990344082135,-0.021626946065981745,0.026773101170966457,0.038119342363194454,-0.00958958190291251,-0.012441645932924208,-0.061149364322403206,0.024693722716701654,-0.029071584285955042,0.03718118564042584,0.012154653438371837,0.020305966905201426,0.028989574775817945,0.032604597515715095,0.024751516222870713,0.04032137415126623,0.009848315959456209,1.0,-0.019064066963364636,-0.022086373683701532,0.00037508483580729146,0.0006786319319141859,0.052878207677764986,-0.020345983648333166,0.014864940478947578,0.035499370010838485,-0.004353050437922273,0.003366519003870865,-0.039143433145302366,-0.01275573631203861,-0.008539618991150428,-0.021623515184442707,0.0013395292729480666,-0.004445230386992421,0.0008638952369723981,0.017596367295168232,-0.022234120072700442,-0.017503619759676042,-0.0007201642407493912,-0.00122542800162245,-0.02589167391104298
pct_diff_kenpom_Rk,0.9871521469433576,0.2899829101787967,0.5761379587051049,0.738588327281353,-0.6578077722612358,0.9836982649128888,0.31242965072631923,-0.32221963201662157,-0.27504991424516406,-0.009995741059781621,0.25518081008916565,-0.1430113920691044,-0.05400842472134947,-0.19171426479792456,0.31567001312673526,-0.30642352459370603,0.17103824240920587,-0.17040054491932916,0.0033633749398460084,-0.052541189011793867,0.028198186561389765,-0.019064066963364636,1.0,0.9815995245649134,0.748362814425322,0.8273699862803552,-0.6608962305712203,0.7508513636134982,0.009050618299684274,0.006070308516177632,-0.039733236420883514,-0.21527078521186221,0.23041787210123715,0.8001823614928583,0.7277460829164223,0.7839657365298643,-0.7044606617123408,0.7468378907776649,0.030654949658737576,0.062192744778991865,0.9520901982713535,0.9786115613767404,0.2285590858175844,0.059568920668608104,0.9334420950303575
pct_diff_kenpom_NetRtg,0.9714682833802404,0.2967175236687045,0.6152050711576195,0.7643461143483837,-0.6906475907313084,0.9755336083580095,0.3303588462622455,-0.3637662053226862,-0.2880080010290374,-0.0021582543675294293,0.27512185870723216,-0.1438294072106684,-0.05166789167890233,-0.20929185010530524,0.3341351605795613,-0.34424594903565964,0.17954550491212215,-0.19282512140957214,-0.004119888174669703,-0.06218102562677048,0.0345632564047796,-0.022086373683701532,0.9815995245649134,1.0,0.7745729599336516,0.8133214668707048,-0.6951553377494856,0.7553193799548846,0.013635475367571415,0.010530699081292255,-0.03047228017584471,-0.21935894640566422,0.22394598945284425,0.788853877249163,0.7240351994356601,0.7718298552052641,-0.7088422474028643,0.7440407988561334,0.030303136385001445,0.07051140592758234,0.9760982139527011,0.9640618059408534,0.2706092663789088,0.05766512087685415,0.9192393241095053
pct_diff_kenpom_ORtg,0.7316377763452913,0.2427088968123096,0.5252964103820542,0.9830972876981161,-0.22758927974305831,0.7514710982181586,0.6192246419040476,-0.009044384292222927,-0.47086116371597325,-0.22646548737908226,0.2120766293198153,-0.10210151735668827,-0.10666577292911493,-0.33038150560689383,0.5366438978619916,-0.04277960101265933,0.44598099666530144,0.0569852091525279,0.1293548844088084,-0.08169372155808559,0.13544607905902767,0.00037508483580729146,0.748362814425322,0.7745729599336516,1.0,0.8901709208970469,-0.22528202630731417,0.2892894021533247,0.11480879667822975,0.11140378390056131,-0.028805865309382155,-0.22041995573536982,0.19503973346853096,0.6002658151041294,0.566740080259841,0.57977136750706,-0.5924455590166254,0.5792004639329288,0.01791597703745246,0.0515373465651789,0.7549178335284591,0.7410885681611805,0.17078762231806308,0.01687766656305433,0.7117480497169524
pct_diff_kenpom_ORtg_Rank,0.8044533583570965,0.24827375202314803,0.4889299165656771,0.8683276922081149,-0.28331883119596174,0.808339104681616,0.5016185435204781,-0.02844071947258809,-0.404454792702141,-0.1670408290335103,0.19194786540587805,-0.09228611840051819,-0.08446119558995155,-0.2633064708441837,0.439193696866641,-0.05876590926548975,0.3535377854619705,0.040023525290149214,0.10140944364357758,-0.0406966435977121,0.09928879694160866,0.0006786319319141859,0.8273699862803552,0.8133214668707048,0.8901709208970469,1.0,-0.2844002408351725,0.3168729446291106,0.08210057982222578,0.08247011200435897,-0.050070238161530216,-0.21034024287917533,0.22624236356730779,0.6440647763021579,0.5937743445602223,0.6331872981090145,-0.5864357488003538,0.5968588629657752,0.006171998756142323,0.039510598890524426,0.7951040210204442,0.8171743446395183,0.23563713395256122,0.013089631689599313,0.7817963571798052
pct_diff_kenpom_DRtg,-0.6643468746330172,-0.25201508877996265,-0.5123901136163627,-0.22738744463377286,0.9762620756638637,-0.6864116866978679,0.09657568602378432,0.7071756370062673,-0.001820819867908434,-0.2914655913967683,-0.26700709894747543,0.13030912933856745,-0.02173003877128534,0.0025642950802798273,0.0011380543503551122,0.6203483825368307,0.16708269415114455,0.45971953131460097,0.1742683343630962,0.03874729772457667,0.103577619144276,0.052878207677764986,-0.6608962305712203,-0.6951553377494856,-0.22528202630731417,-0.2844002408351725,1.0,-0.8619699239884295,0.12261903604868372,0.13247278829570155,-0.0096160229634428,0.14875069940874655,-0.1761946802228312,-0.5627053523435616,-0.5315791926754403,-0.559005577220475,0.5008911572004665,-0.5265951909214199,-0.039119828885978564,-0.06179307317431363,-0.6671305078401515,-0.6476527343904865,-0.05472389794364093,-0.15001788329381982,-0.6209446051332572
pct_diff_kenpom_DRtg_Rank,0.7546047457860753,0.2306173527163849,0.46699691342934113,0.2951461800870151,-0.8515412558269951,0.7604067252610948,-0.04391374451151487,-0.5765190080526782,-0.02222326633847442,0.17604647811164148,0.2526997936612436,-0.15096477467284353,0.01852839133732547,-0.034626024289915576,0.04612576493924818,-0.510775262327808,-0.12949914745041818,-0.36526353262469563,-0.15213930480224416,-0.05057658500385007,-0.07574741592916838,-0.020345983648333166,0.7508513636134982,0.7553193799548846,0.2892894021533247,0.3168729446291106,-0.8619699239884295,1.0,-0.08799398123142589,-0.09329356888851467,-0.0046851470975447064,-0.13789851599294836,0.1457196129718068,0.6255592140466314,0.574364884367045,0.6087748491040113,-0.5503535638288792,0.5973315156370007,0.058340347570421724,0.07128108635432202,0.7180174979291211,0.7255779220135311,0.09706778929801914,0.12170819120702694,0.7004656588121198
