feature_1,feature_2,correlation,abs_correlation
pct_diff_bartTorvik_AdjDE,pct_diff_bartTorvik_EFGD%,0.7224408447114059,0.7224408447114059
pct_diff_bartTorvik_Barthag,pct_diff_kenpom_SOS_DRtg,-0.7191278596699417,0.7191278596699417
pct_diff_bartTorvik_AdjOE,pct_diff_masseyComposite_Rank,0.7190670830767935,0.7190670830767935
pct_diff_kenpom_DRtg_Rank,pct_diff_BPI,0.7180174979291211,0.7180174979291211
pct_diff_kenpom_SOS_DRtg_Rank,pct_diff_BPI_Rank,0.714878870580269,0.714878870580269
pct_diff_kenpom_ORtg,pct_diff_masseyComposite_Rank,0.7117480497169524,0.7117480497169524
pct_diff_kenpom_NetRtg,pct_diff_kenpom_SOS_DRtg,-0.7088422474028643,0.7088422474028643
pct_diff_bartTorvik_EFGD%,pct_diff_kenpom_DRtg,0.7071756370062673,0.7071756370062673
pct_diff_kenpom_SOS_DRtg_Rank,pct_diff_masseyComposite_Rank,0.7048179074677713,0.7048179074677713
pct_diff_kenpom_Rk,pct_diff_kenpom_SOS_DRtg,-0.7044606617123408,0.7044606617123408
pct_diff_kenpom_SOS_ORtg,pct_diff_BPI_Rank,0.7040902142442504,0.7040902142442504
pct_diff_kenpom_SOS_ORtg,pct_diff_masseyComposite_Rank,0.7027132943129116,0.7027132943129116
pct_diff_bartTorvik_AdjDE,pct_diff_bartTorvik_Barthag,-0.7015930883837671,0.7015930883837671
pct_diff_kenpom_DRtg_Rank,pct_diff_masseyComposite_Rank,0.7004656588121198,0.7004656588121198
