Team,Seed,Region,P_R64,Public_R64_Pct,R64_Contrarian_Ratio,P_R32,Public_R32_Pct,R32_Contrarian_Ratio,P_S16,Public_S16_Pct,S16_Contrarian_Ratio,P_E8,Public_E8_Pct,E8_Contrarian_Ratio,P_FF,Public_FF_Pct,FF_Contrarian_Ratio,P_Championship,Public_Champion_Pct,Champion_Contrarian_Ratio,P_WIN_Championship,Public_WIN_Champion_Pct
Liberty,12,Midwest,1.0,1.0,0.01,0.17252,37.6,2.18,0.02364,12.7,5.37,0.00178,3.4,19.1,0.00026,0.9,34.62,4e-05,0.3,75.0,2e-05,0.1
High Point,13,South,1.0,1.0,0.01,0.09496,28.3,2.98,0.02046,8.7,4.25,0.00176,2.3,13.07,0.00036,0.6,16.67,6e-05,0.2,33.33,2e-05,0.1
Texas,10,West,1.0,1.0,0.01,0.19324,46.0,2.38,0.05106,19.0,3.72,0.01084,6.2,5.72,0.00194,2.1,10.82,0.00024,0.8,33.33,2e-05,0.2
Troy,14,West,1.0,1.0,0.01,0.03474,19.8,5.7,0.0029,5.4,18.62,0.00032,1.3,40.62,2e-05,0.3,150.0,0.0,0.1,inf,0.0,0.0
Texas A&M,11,East,1.0,1.0,0.01,0.25394,42.4,1.67,0.0381,16.3,4.28,0.0081,5.0,6.17,0.00114,1.6,14.04,0.0002,0.6,30.0,0.0,0.2
Belmont,12,West,1.0,1.0,0.01,0.10432,37.4,3.59,0.02098,12.6,6.01,0.00192,3.3,17.19,0.00026,0.9,34.62,2e-05,0.3,150.0,0.0,0.1
North Dakota St.,14,East,1.0,1.0,0.01,0.03248,19.8,6.1,0.00566,5.4,9.54,0.00044,1.3,29.55,2e-05,0.3,150.0,2e-05,0.1,50.0,0.0,0.0
Portland St.,15,West,1.0,1.0,0.01,0.02478,11.9,4.8,0.00234,2.9,12.39,0.00018,0.8,44.44,0.0,0.3,inf,0.0,0.1,inf,0.0,0.0
South Florida,12,East,1.0,1.0,0.01,0.18128,37.2,2.05,0.03166,12.5,3.95,0.00406,3.2,7.88,0.00034,0.9,26.47,2e-05,0.3,150.0,0.0,0.1
Bethune Cookman,16,South,1.0,1.0,0.01,0.02638,2.5,0.95,0.00392,0.6,1.53,0.00044,0.3,6.82,2e-05,0.2,100.0,0.0,0.1,inf,0.0,0.0
Yale,12,South,1.0,1.0,0.01,0.17724,38.0,2.14,0.03238,13.0,4.01,0.00266,3.5,13.16,0.00036,1.0,27.78,6e-05,0.4,66.67,0.0,0.1
Tennessee St.,16,Midwest,1.0,1.0,0.01,0.02876,5.0,1.74,0.00308,1.2,3.9,0.00022,0.4,18.18,0.0,0.2,inf,0.0,0.1,inf,0.0,0.0
East Tennessee St.,15,South,1.0,1.0,0.01,0.03754,11.9,3.17,0.00212,2.9,13.68,4e-05,0.8,200.0,0.0,0.3,inf,0.0,0.1,inf,0.0,0.0
Stephen F. Austin,13,Midwest,1.0,1.0,0.01,0.1622,28.0,1.73,0.04398,8.5,1.93,0.00518,2.2,4.25,0.0006,0.6,10.0,8e-05,0.2,25.0,0.0,0.1
Miami OH,11,Midwest,1.0,1.0,0.01,0.19406,41.2,2.12,0.03398,15.4,4.53,0.00388,4.4,11.34,0.00042,1.3,30.95,6e-05,0.5,83.33,0.0,0.1
Cal Baptist,13,West,1.0,1.0,0.01,0.10534,27.7,2.63,0.00968,8.3,8.57,0.00056,2.1,37.5,2e-05,0.5,250.0,0.0,0.2,inf,0.0,0.1
UNC Wilmington,13,East,1.0,1.0,0.01,0.09736,28.0,2.88,0.01824,8.5,4.66,0.00104,2.2,21.15,0.00014,0.6,42.86,2e-05,0.2,100.0,0.0,0.1
UC Irvine,14,Midwest,1.0,1.0,0.01,0.06824,19.8,2.9,0.00942,5.4,5.73,0.00062,1.3,20.97,0.0,0.3,inf,0.0,0.1,inf,0.0,0.0
Wright St.,15,East,1.0,1.0,0.01,0.03566,11.9,3.34,0.002,2.9,14.5,2e-05,0.8,400.0,0.0,0.3,inf,0.0,0.1,inf,0.0,0.0
Merrimack,15,Midwest,1.0,1.0,0.01,0.1128,11.9,1.05,0.01094,2.9,2.65,0.00108,0.8,7.41,6e-05,0.3,50.0,0.0,0.1,inf,0.0,0.0
UMBC,16,East,1.0,1.0,0.01,0.04576,2.5,0.55,0.00564,0.7,1.24,0.00106,0.3,2.83,0.0002,0.2,10.0,4e-05,0.1,25.0,0.0,0.0
Central Arkansas,16,West,1.0,1.0,0.01,0.04294,5.0,1.16,0.00358,1.2,3.35,0.00034,0.4,11.76,4e-05,0.2,50.0,0.0,0.1,inf,0.0,0.0
Navy,14,South,1.0,1.0,0.01,0.17654,20.6,1.17,0.03088,5.8,1.88,0.00518,1.6,3.09,0.00024,0.4,16.67,0.0,0.2,inf,0.0,0.0
