,Team,LRMC C Rank,Index
241,Mount St. Mary's,242.0,6185.0
242,Portland,243.0,6235.0
243,Dartmouth,244.0,6064.0
244,SIUE,245.0,6270.0
245,UNC Asheville,246.0,
246,South Dakota,247.0,6274.0
247,Northwestern LA,248.0,
248,American,249.0,6009.0
249,UC Davis,250.0,6309.0
250,Pacific,251.0,6230.0
251,Florida Intl,252.0,
252,Ga Southern,253.0,
253,Navy,254.0,6188.0
254,Vermont,255.0,6329.0
255,Manhattan,256.0,6158.0
256,MA Lowell,257.0,
257,North Florida,258.0,
258,Northern Arizona,259.0,6212.0
259,Abilene Chr,260.0,
260,Sacred Heart,261.0,6251.0
261,San Diego,262.0,6259.0
262,Presbyterian,263.0,
263,Jackson St.,264.0,
264,Southern Univ,265.0,
265,W Michigan,266.0,
266,E Michigan,267.0,
267,Bethune-Cookman,268.0,6022.0
268,Marist,269.0,6159.0
269,Old Dominion,270.0,6225.0
270,Idaho,271.0,6118.0
271,Georgia St.,272.0,
272,Lafayette,273.0,6141.0
273,SUNY Albany,274.0,
274,Gardner Webb,275.0,
275,E Washington,276.0,
276,Bowling Green,277.0,6027.0
277,Brown,278.0,6029.0
278,Mercer,279.0,6167.0
279,Louisiana,280.0,6150.0
280,Air Force,281.0,6002.0
281,Alabama St.,282.0,6006.0
282,Ball St.,283.0,
283,Denver,284.0,6069.0
284,Southern Miss,285.0,6279.0
285,Incarnate Word,286.0,6123.0
286,Austin Peay,287.0,6018.0
287,UTRGV,288.0,6324.0
288,TN Martin,289.0,
289,Harvard,290.0,6110.0
290,LIU Brooklyn,291.0,
291,Long Beach St.,292.0,
292,Tennessee Tech,293.0,6294.0
293,Rider,294.0,6247.0
294,Charleston So,295.0,
295,Weber St.,296.0,
296,Houston Chr,297.0,
297,Tarleton St.,298.0,
298,Utah Tech,299.0,
299,Boston Univ,300.0,
300,Grambling,301.0,6105.0
301,IUPUI,302.0,6129.0
302,St Peter's,303.0,
303,SF Austin,304.0,
304,F Dickinson,305.0,
305,TX Southern,306.0,
306,VMI,307.0,6333.0
307,Lehigh,308.0,6143.0
308,Columbia,309.0,6056.0
309,Penn,310.0,
310,Loyola MD,311.0,
311,UMBC,312.0,6316.0
312,Detroit,313.0,
313,Southern Utah,314.0,6281.0
314,NC A&T,315.0,6189.0
315,Howard,316.0,6117.0
316,Lindenwood,317.0,
317,Stony Brook,318.0,
318,Coastal Car,319.0,
319,Morehead St.,320.0,
320,Holy Cross,321.0,6114.0
321,E Illinois,322.0,
322,Fairfield,323.0,6084.0
323,WI Green Bay,324.0,
324,Southern Indiana,325.0,
325,Niagara,326.0,6201.0
326,Saint Francis (PA),327.0,6252.0
327,Army,328.0,
328,Alcorn St.,329.0,
329,NC Central,330.0,6191.0
330,Stonehill,331.0,
331,Oral Roberts,332.0,6227.0
332,Binghamton,333.0,
333,Florida A&M,334.0,6088.0
334,ULM,335.0,6314.0
335,CS Sacramento,336.0,
336,West Georgia,337.0,
337,Stetson,338.0,6287.0
338,Bellarmine,339.0,
339,Cent Arkansas,340.0,
340,Delaware St.,341.0,
341,W Illinois,342.0,
342,Buffalo,343.0,6032.0
343,Morgan St.,344.0,
344,SC Upstate,345.0,
345,Mercyhurst,346.0,
346,CS Fullerton,347.0,6062.0
347,Le Moyne,348.0,
348,Wagner,349.0,6334.0
349,N Illinois,350.0,
350,New Orleans,351.0,6200.0
351,W Carolina,352.0,
352,Canisius,353.0,6039.0
353,NJIT,354.0,
354,Prairie View,355.0,
355,Chicago St.,356.0,
356,New Hampshire,357.0,6197.0
357,Citadel,358.0,
358,Alabama A&M,359.0,6005.0
359,Coppin St.,360.0,
360,MD E Shore,361.0,
361,Ark Pine Bluff,362.0,
362,MS Valley St.,363.0,
