,Team,Elite 8,Seed,W,NetRtg,ORtg,DRtg,AdjOD,AdjT,Luck,SoSNetRtg,SoSORtg,SoSDRtg,ConfSoSNetRtg,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,bluePower_NetRtg,bluePower_Seed
847,Cal St. Bakersfield,0,1.0986122886681098,3.2188758248682006,1.9823798288367047,4.653960350157523,4.593097604753822,0,4.22829253473184,-0.0030045090202987243,0.0,4.6210435351443815,4.683056724645162,0.0,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.1778668407677877,1.206948960812582
848,New Mexico St.,0,2.3978952727983707,3.1780538303479458,1.9643112344262046,4.647271362006727,4.58700621536042,0,4.194189897191817,-0.014098924379501648,0.0,4.635699391022914,4.680277658474897,0.0,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.3160329218189055,5.268714427270919
853,UAB,0,2.3978952727983707,3.295836866004329,1.8115620965242347,4.703203926259457,4.65586330030361,0,4.237000862623624,0.07973496801885352,0.0,4.646312129319266,4.6839813664123815,0.0,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245883540541925,4.2964515612536704
856,Middle Tennessee,0,1.0986122886681098,3.258096538021482,1.7509374747078,4.659658371272161,4.6141299273595635,0,4.22829253473184,0.08434114843375096,-0.867500567704723,4.66814498514948,4.673762977453703,1.1346227261911428,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4273147478609243,1.523000020837618
866,Green Bay,0,1.3862943611198906,3.1780538303479458,1.556037135706985,4.694096395182493,4.659658371272161,0,4.3463994570307305,0.055434706888100524,0.10436001532424286,4.657762636107262,4.6568134191399295,1.0715836162801904,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.709481518911621,1.523000020837618
868,Belmont,0,2.4849066497880004,3.044522437723423,1.506297153514587,4.74493212836325,4.7140245909001735,0,4.28496492183075,-0.00904074465214907,0.0,4.653007515402251,4.66814498514948,1.6054298910365616,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.088171250088214,3.4448120765104235
870,UNC Asheville,0,1.0986122886681098,3.1354942159291497,1.4906543764441333,4.650143551630823,4.616110126026426,0,4.264087336809195,-0.008032171697264267,0.0,4.648229675448539,4.686750172980514,1.2919836816486494,1.3862943611198906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0664857564431887,1.523000020837618
874,IPFW,0,2.3978952727983707,3.2188758248682006,1.4279160358107101,4.724729421045731,4.696837374513915,0,4.255612709818223,0.1301506844650451,-0.4004775665971254,4.663439094112067,4.666265285347902,-0.342490308946776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
877,Buffalo,0,1.3862943611198906,3.044522437723423,1.3737155789130306,4.671893818030999,4.6434288981051814,0,4.291828366755733,0.04305948946044701,0.6780335427498971,4.677490847567717,4.669083511731744,1.0986122886681098,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.461367896543522,2.4839060486740205
881,Weber St.,0,1.0986122886681098,3.295836866004329,1.2383742310432684,4.648229675448539,4.623991940228679,0,4.216562194946349,0.018821754240587667,0.0,4.647271362006727,4.700480365792417,0.7701082216960737,1.3862943611198906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7167512134514635,1.523000020837618
888,High Point,0,2.302585092994046,3.091042453358316,0.9321640810304452,4.716711560720999,4.702296896718814,0,4.206184043977636,-0.012072581234269249,0.0,4.639571612705423,4.6839813664123815,1.4060969884160703,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
903,Florida Gulf Coast,0,0.6931471805599453,3.091042453358316,-0.08338160893905101,4.650143551630823,4.651099117876491,0,4.219507705176107,-0.038740828316430595,0.0,4.6549122778829055,4.709530201312334,0.0,1.3862943611198906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11559145429331028,0.9609060278364028
913,Bucknell,0,2.302585092994046,2.8903717578961645,-2.207274913189721,4.669083511731744,4.677490847567717,0,4.279440045898781,-0.06935007813479317,0.0,4.629862798578463,4.685828089005546,0.4252677354043441,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.0599327655963062,3.192060730416365
918,North Florida,0,2.3978952727983707,3.1354942159291497,0.0,4.74406218485471,4.7535901911063645,0,4.268297869345539,0.05638033343610769,0.0,4.637637376125593,4.686750172980514,0.6043159668533296,1.0986122886681098,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.6343572136354596
919,Texas Southern,0,2.302585092994046,2.9444389791664403,0.0,4.684905154006945,4.695924549256556,0,4.231203744939298,-0.016129381929883644,0.0,4.620058798481842,4.678420647727684,2.4874035299865875,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,5.059296557734522
929,Wagner,0,2.302585092994046,3.1780538303479458,0.0,4.622027303054514,4.645351975620923,0,4.203198967134183,0.026641930946421092,0.0,4.598145571051127,4.7059200890882344,0.0,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2.529648278867261
960,Austin Peay,0,0.6931471805599453,2.9444389791664403,0.0,4.658710952916121,4.7059200890882344,0,4.255612709818223,0.05921185963184603,0.0,4.664382045619937,4.6913478822291435,-0.21072103131565253,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.761500010418809
972,Southern,0,0.6931471805599453,3.1354942159291497,0.0,4.620058798481842,4.675628649636653,0,4.247065649239764,0.03922071315328133,0.0,4.6061696863211745,4.687671407499835,1.501852701754163,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.761500010418809
993,Hampton,0,0.6931471805599453,3.091042453358316,0.0,4.613138355637268,4.6839813664123815,0,4.279440045898781,0.14583044821153954,0.0,4.604169685654508,4.697749367281185,1.0681530811834012,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9609060278364028
1025,Fairleigh Dickinson,0,0.6931471805599453,2.9444389791664403,0.0,4.657762636107262,4.7535901911063645,0,4.283586561860629,0.09257918129309317,0.0,4.602165676967792,4.692264892839025,-0.18632957819149348,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.2419530243370103
1032,Holy Cross,0,0.6931471805599453,2.772588722239781,0.0,4.585987366571318,4.695924549256556,0,4.168214410788556,0.06297479916138839,0.0,4.633757642840004,4.6913478822291435,0.0,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.761500010418809
1101,Gonzaga,1,2.833213344056216,3.6375861597263857,3.498021566297695,4.782479200958502,4.469350462845557,1,4.264087336809195,0.01980262729617973,1.3837912309017721,4.674696248636701,4.647271362006727,0.6981347220709843,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.685938957521434,6.225205992397257
1102,Villanova,0,2.833213344056216,3.4965075614664802,3.4301087251565754,4.8154311114712876,4.537961436294641,1,4.175924549214524,0.009950330853168092,2.3350522831315472,4.707726774313183,4.620058798481842,1.5151272329628591,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.536719193849435,6.225205992397257
1103,North Carolina,1,2.833213344056216,3.5263605246161616,3.3748534063225533,4.801558999993482,4.537961436294641,1,4.280824129164719,0.036331929247390204,2.6019486702196644,4.727387818712341,4.61015772749913,1.5830939370944985,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.415310849278773,6.225205992397257
1104,Kentucky,1,2.772588722239781,3.4965075614664802,3.3575937441800234,4.788324729085938,4.526126978647638,1,4.290459441148391,0.005982071677547469,2.4832385926873033,4.7140245909001735,4.61015772749913,1.556037135706985,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.377387495422687,6.092000083350472
1105,Florida,1,2.6390573296152584,3.332204510175204,3.349904087274605,4.769836807543325,4.505349850705881,1,4.248495242049359,-0.04186420409869887,2.599722324216582,4.712229258281499,4.593097604753822,2.2181159363675955,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.360491592278818,5.798601625629939
1106,Kansas,1,2.833213344056216,3.4657359027997265,3.34814816057234,4.811371016571989,4.5591262474866845,1,4.26549281841793,0.06485097231961627,2.5974910105351463,4.720282993088596,4.603168183317418,1.220829921392359,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.356633426972601,6.225205992397257
1107,West Virginia,0,2.6390573296152584,3.367295829986474,3.338257581888281,4.7664383335842135,4.504244267398131,1,4.2612704335380815,-0.04395188752918283,2.4714836294558595,4.7104306966455844,4.607168188650764,0.0,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.334901604403909,5.798601625629939
1108,Wichita St.,0,2.0794415416798357,3.4657359027997265,3.301008654406723,4.784988612563928,4.539030383483547,1,4.23410650459726,-0.021223636451626688,0.9162907318741551,4.663439094112067,4.6491870714048655,-0.3856624808119848,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.253057345462015,4.5690000625128535
1109,Louisville,0,2.772588722239781,3.258096538021482,3.277522020300934,4.772378104971998,4.529368472571809,1,4.232656178019613,-0.02326862693935433,2.4965057856313524,4.72384171570559,4.620058798481842,1.6486586255873816,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.872531115477664,4.967812097348041
1110,Oregon,1,2.70805020110221,3.5263605246161616,3.2588654730843594,4.7808027546312495,4.545420181582317,1,4.219507705176107,0.03343477608623742,2.2027647577118348,4.702296896718814,4.626931677769604,0.412109650826833,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.160459311693381,5.950194458522068
1111,SMU,0,2.4849066497880004,3.4339872044851463,3.2476576262936527,4.794136285500715,4.564348191467836,1,4.1666652238017265,0.002995508979798371,1.4469189829363254,4.666265285347902,4.635699391022914,-2.525728644308256,1.3862943611198906,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5022094541788995,3.4448120765104235
1112,Virginia,0,2.5649493574615367,3.1780538303479458,3.2304090606818736,4.729156165769083,4.48863636973214,0,4.097672352314776,-0.030459207484708574,2.5400259490090797,4.722953221644475,4.613138355637268,1.1908875647772805,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.097934182979824,5.635769767837233
1113,Baylor,0,2.70805020110221,3.332204510175204,3.2280337626529665,4.771531723203316,4.542230386214217,1,4.169761201506855,0.02273948696948934,2.644755350729896,4.724729421045731,4.601162164590552,0.9820784724121582,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.092715119772211,5.950194458522068
1114,Duke,0,2.772588722239781,3.367295829986474,3.2256528091472245,4.804021044733257,4.582924577040772,0,4.238444906195857,0.013902905168991434,2.5201129055226197,4.718498871295094,4.611152257665639,0.02955880224154443,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.087483630211899,6.092000083350472
1115,Saint Mary's,0,2.3978952727983707,3.4011973816621555,3.2055879305412653,4.784988612563928,4.564348191467836,1,4.11414718951828,0.02955880224154443,0.34358970439007686,4.6568134191399295,4.653007515402251,0.0,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.043396585797619,5.268714427270919
1116,UCLA,0,2.70805020110221,3.4657359027997265,3.2039652121324464,4.8283137373023015,4.619073091157083,0,4.298645025734831,0.02078253918252841,1.8196988379172965,4.6913478822291435,4.642465970731788,0.0,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0398311090276655,5.950194458522068
1117,Iowa St.,0,2.5649493574615367,3.2188758248682006,3.196630215920881,4.793308128103486,4.577798989191959,0,4.239886867512759,-0.019182819416773987,2.711377991194885,4.732683506287051,4.601162164590552,-1.3470736479666092,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.023714475076946,5.635769767837233
1118,Arizona,0,2.772588722239781,3.4965075614664802,3.1908877883280318,4.782479200958502,4.565389315976247,1,4.204692619390966,0.044973365642731196,2.0955609235597192,4.697749367281185,4.629862798578463,0.9895411936137477,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.011097072036364,6.092000083350472
1119,Purdue,0,2.6390573296152584,3.332204510175204,3.1830413718589847,4.770684624465665,4.552823705615882,1,4.249922794040544,0.015873349156290163,2.302585092994046,4.7059200890882344,4.6210435351443815,0.0,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.993856732926559,5.798601625629939
1120,Michigan,0,2.3978952727983707,3.295836866004329,3.1801349965517702,4.814620410170298,4.607168188650764,0,4.160444363926624,-0.025317807984289897,2.464703942470481,4.712229258281499,4.61015772749913,-0.7550225842780328,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.987470773670584,5.268714427270919
1121,Wisconsin,0,2.302585092994046,3.332204510175204,3.177637076851603,4.754451888703846,4.533674184283021,0,4.165113633110308,-0.0030045090202987243,2.3978952727983707,4.71492104994721,4.6210435351443815,0.0,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9819822831131635,5.059296557734522
1122,Oklahoma St.,0,2.0794415416798357,3.044522437723423,3.1561489949598958,4.844187086458591,4.6491870714048655,0,4.268297869345539,-0.07364654016829848,2.7356653681351832,4.727387818712341,4.591071261608589,1.4036429994545037,1.791759469228055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.655059848014002,3.725859073011031
1123,Cincinnati,0,2.4849066497880004,3.4339872044851463,3.1432898379116057,4.752727750345706,4.541164856012179,0,4.1666652238017265,0.025667746748577813,1.6428726885203377,4.683056724645162,4.6443908991413725,-0.6348782724359695,2.1972245773362196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9065136855505616,5.4598979633004
1124,South Carolina,1,2.3978952727983707,3.295836866004329,3.0819099697950434,4.699570861409576,4.489759334476764,0,4.242764567340374,-0.005012541823544286,2.453587966530573,4.711330381816482,4.61015772749913,1.0750024230289759,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.2724344126060405,3.324188695236423
1125,Butler,0,2.6390573296152584,3.258096538021482,3.080073421987742,4.776599301615622,4.584967478670572,0,4.203198967134183,0.001998002662673058,2.468946630209271,4.716711560720999,4.61512051684126,1.8115620965242347,1.791759469228055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.518750719764196,4.728555960173844
1126,Florida St.,0,2.70805020110221,3.295836866004329,3.0473755067058295,4.757891273005756,4.56954300834494,0,4.280824129164719,0.03825871211709027,2.2844211223663744,4.71492104994721,4.632785353021065,0.0,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.460163920433812,4.852174590969823
1127,Notre Dame,0,2.5649493574615367,3.295836866004329,3.032064202801381,4.779963476361254,4.599152113662528,0,4.219507705176107,0.023716526617316065,2.419478844465545,4.7104306966455844,4.613138355637268,0.0,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.432729746676788,4.595772299322124
