,Team,Elite 8,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,bluePower_Barthag,bluePower_Seed
1482,Seton Hall,0,2.4849066497880004,3.258096538021482,4.719391330078114,4.537961436294641,0,0.6376344706296865,3.9357395320454622,3.835141961092188,3.0204248861443626,3.005682604407159,3.58351893845611,3.456316680883235,3.728100167267218,3.5467396869528134,3.914021008090819,3.8133070324889884,3.591817741270805,3.484312288372662,3.4210000089583352,3.529297384289471,4.26689632742025,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.401026130224317,5.4598979633004
1484,Maryland,0,2.5649493574615367,3.2188758248682006,4.754451888703846,4.578826210648489,0,0.6337155967905188,4.036008985209137,3.8649313978942956,3.0007198150650303,2.8622008809294686,3.4404180948154366,3.417726683613366,3.6027767550605247,3.32862668882732,4.028916756899646,3.8437441646748516,3.653252276470785,3.505557396986398,3.6584202466292277,3.6000482404073204,4.23410650459726,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3924154843094179,5.635769767837233
1486,Butler,0,2.1972245773362196,3.091042453358316,4.778282803696737,4.609162207257629,0,0.6300476236166284,3.979681653901961,3.919991175077323,2.740840023925201,2.975529566236472,3.520460802488973,3.3603753871419,3.708682081410116,3.616308761279101,3.9318256327243257,3.901972669574645,3.681351187693145,3.5524868292083815,3.449987545831587,3.634951112088381,4.251348311031766,1.791759469228055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1288937956797274,3.936897942462782
1488,VCU,0,2.0794415416798357,3.2188758248682006,4.722063937459591,4.551769409260976,0,0.6299411046561527,3.949318790171843,3.912023005428146,2.8449093838194073,3.131136910560194,3.535145354171894,3.3603753871419,3.505557396986398,3.6375861597263857,3.92395157629342,3.899950424193877,3.6000482404073204,3.543853682063679,3.520460802488973,3.4307561839036995,4.26689632742025,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3841220774248264,4.5690000625128535
1490,Baylor,0,2.5649493574615367,3.091042453358316,4.777441406928545,4.60816569496789,0,0.6293550474721659,3.9646154555473165,3.9512437185814275,2.990719731730447,3.0349529867072724,3.7184382563554808,3.3945083935113587,3.6938669956249757,3.66612246699132,3.929862923556477,3.906004933102583,3.648057459593681,3.6402142821326553,3.3877743613300146,3.5496173867804286,4.223909766576744,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.382834378176446,5.635769767837233
1492,Utah,0,2.70805020110221,3.258096538021482,4.755312844417811,4.5880240271531205,0,0.6283419571938297,4.028916756899646,3.879499813722586,2.9338568698359038,2.785011242238338,3.4011973816621555,3.367295829986474,3.673765816303888,3.1945831322991562,4.039536325727106,3.8022081394209395,3.6109179126442243,3.632309102625542,3.653252276470785,3.493472657771326,4.219507705176107,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8710669121128417,3.7541547234175794
1494,Connecticut,0,2.1972245773362196,3.2188758248682006,4.713127327493184,4.546481189639412,0,0.6275948123197095,3.970291913552122,3.8110970868381857,2.8622008809294686,2.9496883350525844,3.40452517175483,3.407841924380824,3.4242626545931514,3.56953269648137,3.949318790171843,3.744787086052232,3.616308761279101,3.517497837358316,3.5467396869528134,3.629660094453965,4.21803603456465,2.1972245773362196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3789667462375776,4.827795843250328
1496,Cincinnati,0,2.1972245773362196,3.1354942159291497,4.705015520957808,4.540098189244376,0,0.6263661468695941,3.912023005428146,3.835141961092188,2.856470206220483,3.0726933146901194,3.632309102625542,3.4531571205928664,3.5409593240373143,3.32862668882732,3.8815637979434374,3.735285826928092,3.56953269648137,3.6000482404073204,3.6216707044204863,3.58351893845611,4.207673247529104,2.1972245773362196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3762670923132605,4.827795843250328
1498,Pittsburgh,0,2.0794415416798357,3.044522437723423,4.7561730595246186,4.597138014290827,0,0.6223491092512299,3.9569963710708773,3.9415818076696905,2.91235066461494,2.89591193827178,3.648057459593681,3.349904087274605,3.6270040503958487,3.5145260669691587,3.9454577815143836,3.906004933102583,3.586292865338835,3.6054978451748854,3.459466289786131,3.563882963939251,4.213607983048918,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1150999096665364,3.725859073011031
1500,Syracuse,1,2.0794415416798357,2.995732273553991,4.716711560720999,4.560172820057356,0,0.6207377650418049,3.9396381724611196,3.8815637979434374,2.9601050959108397,3.0726933146901194,3.5263605246161616,3.591817741270805,3.597312260588446,3.414442608412176,3.883623530906448,3.906004933102583,3.6136169696133895,3.4468078929142076,3.7887247890836524,3.720862499966987,4.200204952921578,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3639002734306094,4.5690000625128535
1502,Texas,0,2.4849066497880004,3.044522437723423,4.722953221644475,4.566429357671661,0,0.6205764877251098,3.9180050771056933,3.8815637979434374,2.797281334830153,2.970414465569701,3.456316680883235,3.505557396986398,3.7062280924485496,3.6506582412937387,3.901972669574645,3.8416005411316,3.5524868292083815,3.563882963939251,3.6109179126442243,3.5145260669691587,4.209160236650682,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3635459109466,5.4598979633004
