,Seed,Team,Index,Projected,Actual
537,10,Indiana,,0.0,0
538,10,Ohio St,,5.0,5
539,10,Georgia,,0.0,0
540,10,Davidson,,1.88,0
541,11,Texas,,5.25,0
542,11,Mississippi,,0.0,1
543,11,Dayton,,0.0,8
544,11,UCLA,,0.0,11
545,11,BYU,,0.0,0
546,11,Boise St,,0.0,0
547,12,Buffalo,,2.25,0
548,12,Wofford,,5.63,0
549,12,Wyoming,,0.0,0
550,12,SF Austin,,0.0,0
551,13,Valparaiso,,0.0,0
552,13,Harvard,,0.0,0
553,13,UC Irvine,,0.0,0
554,13,Eastern Washington,,0.0,0
555,14,Northeastern,,0.0,0
556,14,Georgia St,,0.0,13
557,14,Albany,,0.0,0
558,14,UAB,,0.0,13
559,15,New Mexico St,,0.0,0
560,15,Texas Southern,,0.0,0
561,15,Belmont,,0.0,0
562,15,North Dakota St,,0.0,0
563,1,Florida,,19.2,20
564,1,Virginia,,8.4,6
565,1,Arizona,,9.2,12
566,1,Wichita St,,3.6,2
567,2,Kansas,,23.6,2
568,2,Villanova,,15.0,2
569,2,Wisconsin,,13.0,21
570,2,Michigan,,6.0,12
571,3,Syracuse,,2.0,2
572,3,Iowa St,,4.7,6
573,3,Creighton,,10.3,2
574,3,Duke,,30.2,0
575,4,UCLA,,5.6,6
576,4,Michigan St,,18.7,15
577,4,San Diego St,,8.4,6
578,4,Louisville,,28.0,6
579,5,VCU,,2.5,0
580,5,Cincinnati,,0.8,0
581,5,Oklahoma,,2.0,0
582,5,Saint Louis,,1.0,2
583,6,Ohio St,,9.0,0
584,6,North Carolina,,5.5,2
585,6,Baylor,,2.0,9
586,6,Massachusetts,,0.0,0
587,7,New Mexico,,1.0,0
588,7,Connecticut,,1.2,60
589,7,Oregon,,1.2,2
590,7,Texas,,0.8,2
591,8,Colorado,,0.0,0
592,8,Memphis,,2.0,2
593,8,Gonzaga,,0.0,2
594,8,Kentucky,,8.6,53
595,9,Pittsburgh,,3.0,3
596,9,George Washington,,0.0,0
597,9,Oklahoma St,,12.4,0
598,9,Kansas St,,0.0,0
599,10,Stanford,,2.5,17
600,10,St. Josephs,,2.0,0
601,10,BYU,,2.0,0
602,10,Arizona St,,3.0,0
603,11,Dayton,,0.0,21
604,11,Providence,,0.0,0
605,11,Nebraska,,0.0,0
606,11,Tennessee,,2.4,12
607,11,Iowa,,5.6,0
608,12,Xavier,,2.5,0
609,12,North Carolina St,,2.5,1
610,12,SF Austin,,0.0,9
611,12,Harvard,,5.4,9
612,12,North Dakota St,,0.0,9
613,13,Tulsa,,0.0,0
614,13,Delaware,,0.0,0
615,13,New Mexico St,,0.0,0
616,13,Manhattan,,0.0,0
617,14,Western Michigan,,0.0,0
618,14,NC Central,,0.0,0
619,14,LA Lafayette,,0.0,0
620,14,Mercer,,0.0,13
621,15,Eastern Kentucky,,0.0,0
622,15,Milwaukee,,0.0,0
623,15,American,,0.0,0
624,15,Wofford,,0.0,0
625,1,Louisville,,29.0,42
626,1,Gonzaga,,22.4,2
627,1,Kansas,,12.8,6
628,1,Indiana,,33.2,6
629,2,Duke,,8.3,12
630,2,Ohio State,,14.8,12
631,2,Georgetown,,6.0,0
632,2,Miami,,11.4,6
633,3,Michigan St,,9.1,6
634,3,New Mexico,,3.6,0
635,3,Florida,,26.8,12
636,3,Marquette,,3.6,13
637,4,Saint Louis,,6.0,2
638,4,Kansas St,,2.0,0
639,4,Michigan,,4.0,35
640,4,Syracuse,,6.0,24
641,5,Oklahoma St,,1.8,0
642,5,Wisconsin,,7.0,0
643,5,VCU,,4.5,2
644,5,UNLV,,1.0,0
645,6,Memphis,,0.2,2
646,6,Arizona,,6.2,6
647,6,UCLA,,0.2,0
648,6,Butler,,7.2,2
649,7,Creighton,,5.6,2
650,7,Notre Dame,,1.6,0
651,7,San Diego St,,2.0,2
652,7,Illinois,,2.0,2
653,8,Colorado St,,0.0,2
654,8,Pittsburgh,,2.0,0
655,8,North Carolina,,2.0,2
656,8,North Carolina St,,2.0,0
657,9,Missouri,,2.9,0
658,9,Wichita St,,0.0,36
659,9,Villanova,,0.0,0
660,9,Temple,,0.0,3
661,10,Cincinnati,,0.0,0
662,10,Iowa St,,1.0,5
