,Team,Seed,Win,AdjOE,AdjDE,Barthag,AdjOD,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,Conf_P12,bluePower_Barthag,bluePower_Seed
20,Gonzaga,2.302585092994046,3.258096538021482,4.822697998516666,4.578826210648489,0.6647991450444571,0,4.037774210733707,3.8815637979434374,2.653241964607215,2.954910279033736,3.517497837358316,3.3105430133940246,3.462606009790799,3.3877743613300146,4.074141854904581,3.914021008090819,3.5667118201397288,3.4404180948154366,3.5409593240373143,3.728100167267218,4.264087336809195,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.4607130204837875,5.059296557734522
22,Wisconsin,2.70805020110221,3.295836866004329,4.8154311114712876,4.575741375297279,0.6636153779539075,0,4.000033882750859,3.8897773964808264,2.714694743820879,2.740840023925201,3.367295829986474,3.3178157727231046,3.5496173867804286,3.370738174177447,4.019980146933238,3.86702563949741,3.580737295494233,3.5263605246161616,3.893859034800475,3.6913763343125234,4.22683374526818,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4581120183385898,5.950194458522068
24,Michigan St.,2.772588722239781,3.332204510175204,4.768988271217486,4.530446639792155,0.6632033041868731,1,3.955082494888593,3.8522730010223722,2.8678989020441064,2.856470206220483,3.591817741270805,3.242592351485517,3.6584202466292277,3.529297384289471,4.000033882750859,3.914021008090819,3.459466289786131,3.3638415951183864,3.517497837358316,3.7471483622379123,4.232656178019613,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4572065997299866,6.092000083350472
26,BYU,2.4849066497880004,3.2188758248682006,4.839451481712757,4.6061696863211745,0.6615017027243997,0,4.063885354737392,3.9435216724875173,2.9231615807191558,2.9014215940827497,3.535145354171894,3.299533727885655,3.4404180948154366,3.417726683613366,4.087655574071304,3.9180050771056933,3.6402142821326553,3.5779478934066544,3.8979240810486444,3.8155121050473024,4.222444564849416,1.791759469228055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185251939766925,4.452355019905411
28,St. John's,2.772588722239781,3.4339872044851463,4.732683506287051,4.500920164614292,0.6608305790834021,0,3.9259259105971376,3.8628327612373745,2.8094026953624978,3.131136910560194,3.6454498961866,3.3978584803966405,3.4404180948154366,3.4468078929142076,3.960813169597578,3.845883202923601,3.4468078929142076,3.490428515390098,3.4436180975461075,3.7328963395307104,4.264087336809195,1.3862943611198906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9161057054389123,3.843624111345611
30,Missouri,2.4849066497880004,3.1354942159291497,4.852030263919617,4.623010104116422,0.6597972008783912,0,4.046553898385752,3.9454577815143836,2.785011242238338,3.044522437723423,3.5467396869528134,3.502549875922443,3.86702563949741,3.591817741270805,4.055257173514054,3.9531649487593215,3.6375861597263857,3.5380565643793527,3.7495040759303713,3.6686767467964168,4.235554730773624,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.1821978824440227,4.452355019905411
32,Kentucky,2.70805020110221,3.1354942159291497,4.827513417131532,4.602165676967792,0.658296903124199,0,4.04305126783455,3.9396381724611196,2.785011242238338,2.70805020110221,3.391147045808654,3.292126286607793,3.6082115510464816,3.4657359027997265,4.041295341132285,4.001863709427935,3.648057459593681,3.459466289786131,3.754198920234579,3.7954891891721947,4.275276264727001,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4464261347288103,5.950194458522068
34,Purdue,2.6390573296152584,3.1354942159291497,4.836281906951478,4.61512051684126,0.6569498922480574,0,4.048300623720694,3.970291913552122,2.8094026953624978,2.9338568698359038,3.4657359027997265,3.4307561839036995,3.572345637857985,3.4657359027997265,4.034240638152395,4.050044303325521,3.676300671907076,3.456316680883235,3.66612246699132,3.7773481021015445,4.189654742026425,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.443466449325813,5.798601625629939
36,Louisville,2.302585092994046,3.332204510175204,4.78164132910387,4.5612182984589085,0.6568980478848242,1,3.996364153861897,3.9160150266976834,2.8622008809294686,2.975529566236472,3.502549875922443,3.339321977944068,3.56953269648137,3.3250360206965914,4.060443010546419,3.8979240810486444,3.5263605246161616,3.5467396869528134,3.893859034800475,3.7062280924485496,4.2456340097683265,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.177003297615058,4.125678644075443
38,Kansas,2.3978952727983707,3.091042453358316,4.763028270603671,4.543294782270004,0.65617194443505,1,3.9908341858524357,3.8543938925915096,2.8735646395797834,2.8094026953624978,3.4468078929142076,3.349904087274605,3.2308043957334744,3.367295829986474,3.996364153861897,3.8522730010223722,3.5890591188317256,3.462606009790799,3.563882963939251,3.730501128804756,4.238444906195857,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.441757123271188,5.268714427270919
40,Clemson,2.5649493574615367,3.332204510175204,4.78164132910387,4.562262684976814,0.6560681723185245,1,4.000033882750859,3.910021002757473,2.8154087194227095,3.0492730404820207,3.5467396869528134,3.4307561839036995,3.374168709274236,3.353406717825807,3.975936331171799,3.9180050771056933,3.6428355156125294,3.502549875922443,3.673765816303888,3.6712245188752153,4.178992036282385,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1755163602108596,4.595772299322124
42,Texas A&M,2.6390573296152584,3.1354942159291497,4.75960653929251,4.544358046591334,0.6542504149299987,0,3.8815637979434374,3.8958936234982624,2.954910279033736,3.0301337002713233,3.7612001156935624,3.3603753871419,3.754198920234579,3.591817741270805,3.8918202981106265,3.8607297110405954,3.4688560301359703,3.5380565643793527,3.653252276470785,3.871201010907891,4.206184043977636,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.172259376197209,4.728555960173844
