Year,Team,Index,tournamentSeed,bartTorvik_Rk,bartTorvik_Conf,bartTorvik_G,bartTorvik_Wins_Overall,bartTorvik_AdjOE,bartTorvik_AdjDE,bartTorvik_Barthag,bartTorvik_EFG%,bartTorvik_EFGD%,bartTorvik_TOR,bartTorvik_TORD,bartTorvik_ORB,bartTorvik_DRB,bartTorvik_FTR,bartTorvik_FTRD,bartTorvik_2P%,bartTorvik_2P%D,bartTorvik_3P%,bartTorvik_3P%D,bartTorvik_3PR,bartTorvik_3PRD,bartTorvik_Adj T.,bartTorvik_WAB,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank,BPI,BPI_Rank,BPI_Off,BPI_Def,masseyComposite_Rank,LRMCB,PowerRank,tournamentOutcome,elite8_flag
2016,Gonzaga,108,11.0,339.9622641509434,,32,25,117.019,96.343,0.903122,55.313,45.117,16.568,14.9332,31.91,25.932,35.9196,28.327,54.615,44.944,37.646,30.37,35.9158,33.196,68.2214,2.23,340.8888888888889,20.82,116.3,341.25,95.5,336.8045977011494,67.3,146.4022038567493,-0.038,83.52407932011332,3.51,273.76044568245123,107.3,287.36842105263156,103.8,244.7058823529412,6.12,339.5977653631285,12.5,334.1639344262295,6.4,6.1,325.8024691358025,21,334.96932515337426,Sweet Sixteen,0
2016,California,41,4.0,338.8176100628931,,33,23,112.542,93.017,0.899023,52.554,44.04,17.5125,14.1346,32.482,25.727,41.659,37.2181,51.078,40.91,36.965,35.1191,33.722,26.55,68.8178,2.329,332.8,18.32,112.5,307.6666666666667,94.2,345.17241379310343,68.1,202.55647382920108,-0.053,55.68271954674221,7.65,312.2896935933148,109.4,324.67590027700834,101.8,293.6470588235294,-2.58,127.09497206703912,11.8,329.3901639344262,5.1,6.7,320.1851851851852,23,340.55214723926383,R64,0
2016,Seton Hall,277,6.0,335.3836477987421,,33,25,111.159,92.51,0.892026,50.2155,45.32,19.5262,19.297,35.033,30.7223,40.678,33.799,49.1157,44.332,35.3143,31.634,29.6298,33.196,70.3103,5.313,331.64444444444445,18.27,111.1,287.0833333333333,92.9,354.58620689655174,69.7,272.74931129476585,0.016,228.91784702549575,8.55,323.44289693593316,108.5,303.50138504155126,100.0,350.7450980392157,-2.92,113.87709497206704,11.0,325.80983606557373,4.7,6.2,312.320987654321,28,339.43558282208585,R64,0
2016,VCU,350,10.0,334.23899371069183,,33,24,111.457,93.318,0.885627,51.0125,48.5101,16.46,22.31,33.455,28.085,32.6278,36.6161,49.5135,47.6117,36.1111,33.8124,32.524,30.425,70.498,0.4945,329.3333333333333,17.07,112.1,302.25,95.0,339.9425287356322,69.6,268.73829201101927,-0.07,28.872521246458923,3.82,276.8022284122562,107.3,288.37673130193906,103.5,251.84313725490196,0.95,220.6368715083799,10.6,323.42295081967217,5.6,5.0,313.44444444444446,32,328.26993865030676,R32,0
2016,Maryland,168,5.0,333.09433962264154,,32,24,115.127,96.444,0.884628,55.611,46.742,19.1242,16.5272,30.2161,29.5157,35.7202,26.914,55.211,45.762,37.646,32.355,37.8109,35.6182,68.0227,4.018,339.73333333333335,20.25,116.2,339.0833333333333,95.9,331.5747126436782,67.4,151.4159779614325,0.016,232.0113314447592,8.6,325.4707520891365,109.2,319.63434903047096,100.6,334.4313725490196,-1.86,143.3631284916201,13.3,341.32459016393443,6.3,7.0,351.641975308642,24,342.7852760736196,Sweet Sixteen,0
2016,Butler,35,9.0,331.9496855345912,,31,21,117.914,99.493,0.877729,52.554,49.4141,14.56,18.6141,32.869,27.88,39.896,36.215,50.012,48.5157,38.723,33.9131,30.5277,36.9239,69.2159,2.131,330.4888888888889,17.27,118.0,348.83333333333337,100.7,263.58620689655174,67.9,186.51239669421489,-0.009,157.76770538243625,8.1,317.3593314763231,108.5,302.49307479224376,100.4,339.5294117647059,-4.1,78.29050279329608,12.1,331.7770491803279,8.6,3.5,335.91358024691357,38,327.15337423312883,R32,0
2016,Baylor,21,5.0,330.8050314465409,,32,21,117.815,99.391,0.87643,51.792,51.0222,18.9227,19.87,40.23,28.8126,39.2107,38.1199,49.9124,48.7163,37.451,37.1295,28.632,33.8111,67.3256,3.521,337.4222222222222,19.06,118.9,349.9166666666667,99.8,277.18390804597703,66.6,112.3085399449036,-0.012,147.45609065155807,11.21,353.86072423398326,109.7,330.72576177285316,98.4,362.9803921568627,-3.12,103.7094972067039,11.8,330.58360655737704,7.5,4.3,341.53086419753083,31,336.0858895705521,R64,0
2016,Utah,346,3.0,329.66037735849056,,33,25,115.226,97.353,0.874531,55.215,47.467,17.8144,15.2325,29.0196,28.085,38.4122,23.41,55.88,43.823,36.0117,36.8283,37.6112,31.959,67.0274,5.711,327.02222222222224,16.79,115.6,336.9166666666667,98.8,302.28735632183907,65.3,59.16253443526171,0.112,355.7507082152975,9.79,343.7214484679666,109.8,331.73407202216066,100.0,352.7843137254902,1.9,249.10614525139664,10.1,317.455737704918,6.3,3.9,321.30864197530866,30,332.7361963190184,R32,0
2016,Cincinnati,54,9.0,328.5157232704403,,32,22,109.576,92.713,0.870832,49.0215,45.32,16.46,20.643,36.82,30.6215,33.526,26.914,47.5222,40.91,34.5176,35.6228,36.4145,35.0153,66.2306,0.3646,328.1777777777778,17.06,111.2,289.25,94.1,348.3103448275862,64.0,31.085399449035812,-0.067,32.9971671388102,5.2,286.94150417827296,107.3,285.3518005540166,102.1,288.54901960784315,-1.21,164.7150837988827,13.0,337.74426229508197,3.3,9.6,322.4320987654321,29,330.50306748466255,R64,0
2016,Connecticut,62,9.0,327.37106918238993,,33,23,110.17,93.619,0.866533,52.074,44.25,16.675,18.4154,29.518,29.7168,29.1334,34.7119,50.788,41.45,36.396,32.877,33.3228,37.0243,67.1269,0.94,335.1111111111111,18.71,111.9,301.16666666666663,93.2,352.4942528735632,65.9,87.2396694214876,-0.036,86.61756373937678,6.17,293.025069637883,107.6,292.409972299169,101.4,307.921568627451,-0.91,174.8826815642458,13.5,343.71147540983605,4.4,9.1,316.8148148148148,26,324.920245398773,R32,0
2016,Pittsburgh,241,10.0,326.22641509433964,,31,20,115.325,98.269,0.863334,51.3113,50.5198,17.4119,17.1241,37.416,27.57,36.6178,32.681,50.788,48.7163,35.1154,35.8238,30.8273,34.3127,66.629,1.836,322.4,16.6,114.9,334.75,98.3,309.60919540229884,65.3,61.16804407713499,-0.011,152.61189801699717,9.06,330.54038997214485,110.8,350.8919667590028,101.7,295.6862745098039,-7.02,35.58659217877095,12.3,332.97049180327866,5.2,7.1,344.9012345679012,45,318.2208588957055,R64,0
2016,Syracuse,303,10.0,325.0817610062893,,32,19,110.863,94.625,0.860335,50.4147,47.57,18.3192,20.643,33.061,35.3337,35.5207,29.438,47.6218,48.7163,36.1111,30.411,43.228,40.3315,65.732,-0.3059,333.9555555555555,18.57,112.7,310.91666666666663,94.1,346.21839080459773,65.0,50.137741046831955,-0.027,108.27195467422096,10.21,346.76323119777163,110.9,352.90858725761774,100.7,331.37254901960785,-0.82,182.0,11.0,327.00327868852463,1.5,9.5,302.2098765432099,41,322.6871165644172,Final Four,1
