Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,(22-7-4),,,,,,,(14-2-1),,(5-5-2),,(3-0-1),,,(12-6-3),,(10-1-1),,,(3-4-1),(3-1-2),(6-5-3),(7-2-1),(3-0-0),(6-0-0)
,22,Michigan,Big Ten,,25-9,67,,80,29,64,,14-3,91,3-Jul,42,3-Apr,46,,17-6,40,3-Aug,123,,5-May,1-Jun,6-Nov,3-Jul,Jun-00,Jan-00
,,,,,(24-8-2),,,,,,,(13-3-1),,(7-2-1),,(4-3-0),,,(16-5-2),,(8-3-0),,,(5-5-0),(5-1-1),(10-6-1),(7-2-1),(6-0-0),(1-0-0)
,23,Illinois,Big Ten,,21-12,81,,113,20,53,,13-4,119,6-May,46,2-Mar,27,,13-9,43,3-Aug,158,,8-Apr,1-Jun,9-Oct,3-Apr,Feb-00,May-00
,,,,,(21-10-2),,,,,,,(13-4-0),,(5-4-2),,(3-2-0),,,(13-7-2),,(8-3-0),,,(4-8-0),(6-0-1),(10-8-1),(4-2-1),(2-0-0),(5-0-0)
,24,Kentucky,Southeastern,,22-11,75,,104,27,7,,15-3,114,7-Apr,30,1-Mar,25,,9-Nov,34,2-Nov,139,,5-Jul,5-Feb,10-Sep,1-May,Mar-00,May-00
,,,,,(21-11-1),,,,,,,(15-3-0),,(4-7-0),,(2-1-1),,,(11-9-0),,(10-2-1),,,(6-5-1),(2-5-0),(8-10-1),(5-1-0),(3-0-0),(5-0-0)
,25,St_Mary's_CA,West Coast,,27-5,117,,128,53,114,,15-1,132,1-Sep,122,3-Mar,71,,18-2,124,3-Sep,106,,1-Feb,0-1,2-Feb,3-Aug,13-0,Apr-00
,,,,,(26-4-2),,,,,,,(14-1-1),,(9-1-0),,(3-2-1),,,(18-2-0),,(8-2-2),,,(2-1-0),(0-0-1),(2-1-1),(8-3-0),(12-0-1),(4-0-0)
,26,Creighton,Big East,,24-10,80,,100,32,94,,16-2,104,5-Jun,52,3-Feb,53,,17-6,54,4-Jul,132,,4-Mar,3-May,7-Aug,3-Oct,Feb-00,Apr-00
,,,,,(23-10-1),,,,,,,(16-2-0),,(6-5-0),,(1-3-1),,,(16-6-1),,(7-4-0),,,(3-4-0),(5-3-0),(8-7-0),(9-3-1),(2-0-0),(4-0-0)
,27,North_Carolina,Atlantic Coast,,22-13,79,,112,22,81,,3-Dec,111,7-Jun,67,3-Apr,35,,15-8,69,5-Jul,99,,0-10,Feb-00,10-Feb,3-Oct,Jul-00,Mar-00
,,,,,(21-12-2),,,,,,,(11-3-1),,(6-7-0),,(4-2-1),,,(14-8-1),,(7-4-1),,,(0-9-1),(2-0-0),(2-9-1),(10-3-0),(6-0-1),(3-0-0)
,28,Connecticut,Big East,,22-10,86,,111,31,70,,13-2,128,5-Jul,53,3-Feb,41,,15-7,54,3-Jul,157,,2-Mar,5-Jun,7-Sep,2-Aug,1-Jan,Apr-00
,,,,,(20-8-4),,,,,,,(11-2-2),,(7-4-1),,(2-2-1),,,(13-6-3),,(7-2-1),,,(3-2-0),(5-4-2),(8-6-2),(7-2-1),(1-0-1),(4-0-0)
,29,Baylor,Big 12,,18-14,70,,124,20,35,,3-Dec,117,9-Mar,32,2-Mar,23,,10-Nov,37,4-Jul,133,,10-Feb,2-Mar,12-May,2-Aug,0-0,May-00
,,,,,(15-13-4),,,,,,,(11-3-1),,(2-8-2),,(2-2-1),,,(9-9-3),,(6-4-1),,,(1-9-2),(2-2-1),(3-11-3),(7-2-1),(0-0-0),(5-0-0)
