Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,119,Belmont,Missouri Valley,,21-11,159,,179,128,116,,5-Oct,170,4-Sep,160,2-Feb,115,,14-8,149,3-Jul,183,,0-0,0-0,0-0,0-3,16-7,1-May
,,,,,(20-11-1),,,,,,,(9-5-1),,(9-4-0),,(2-2-0),,,(13-8-1),,(7-3-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(15-7-1),(5-1-0)
,120,Troy,Sun Belt,,21-10,204,,239,132,---,,4-Sep,228,6-Sep,188,Mar-00,181,,16-5,220,5-May,171,,0-1,0-2,0-3,1-Feb,4-May,14-2
,,,,,(21-10-0),,,,,,,(9-4-0),,(9-6-0),,(3-0-0),,,(16-5-0),,(5-5-0),,,(0-1-0),(0-2-0),(0-3-0),(2-1-0),(5-4-0),(14-2-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,UNC_Wilmington,Colonial Athletic,,25-7,210,,217,198,152,,13-3,211,4-Sep,214,Mar-00,189,,17-4,208,3-Aug,213,,0-1,0-0,0-1,0-0,2-Aug,17-4
,,,,,(24-6-2),,,,,,,(13-2-1),,(8-4-1),,(3-0-0),,,(16-3-2),,(8-3-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(7-1-2),(17-4-0)
,122,Davidson,Atlantic 10,,16-16,150,,215,85,---,,6-Oct,181,7-Apr,137,3-Feb,80,,13-Jul,123,3-Sep,194,,0-2,0-1,0-3,6-Jan,7-May,Oct-00
,,,,,(16-16-0),,,,,,,(10-6-0),,(4-7-0),,(2-3-0),,,(7-13-0),,(9-3-0),,,(0-2-0),(0-1-0),(0-3-0),(1-6-0),(5-7-0),(10-0-0)
,123,Murray_St,Missouri Valley,,15-17,155,,182,122,165,,5-Jun,171,8-Jun,147,4-Mar,147,,12-Oct,151,5-May,165,,0-0,0-0,0-0,3-Feb,12-Aug,2-May
,,,,,(15-13-4),,,,,,,(6-5-0),,(6-5-3),,(3-3-1),,,(10-10-2),,(5-3-2),,,(0-0-0),(0-0-0),(0-0-0),(2-3-0),(8-9-3),(5-1-1)
,124,Utah_Valley,Western Athletic,,23-8,208,,230,137,266,,1-Nov,205,6-Oct,200,1-Feb,261,,17-2,219,6-Jun,192,,0-0,0-0,0-0,3-Jan,4-Jul,15-1
,,,,,(21-8-2),,,,,,,(11-1-0),,(8-6-2),,(2-1-0),,,(15-2-2),,(6-6-0),,,(0-0-0),(0-0-0),(0-0-0),(1-3-0),(7-4-0),(13-1-2)
,125,St_Thomas_MN,Summit,,21-10,213,,236,167,145,,Nov-00,234,8-Jul,197,2-Mar,214,,14-5,222,5-Jul,198,,0-0,0-0,0-0,0-2,6-Jun,15-2
,,,,,(21-9-1),,,,,,,(11-0-0),,(7-7-1),,(3-2-0),,,(14-5-0),,(7-4-1),,,(0-0-0),(0-0-0),(0-0-0),(0-2-0),(6-5-1),(15-2-0)
,126,Chattanooga,Southern,,22-9,214,,248,117,204,,3-Nov,233,5-Oct,196,1-Jan,225,,16-4,232,5-Jun,183,,0-1,0-1,0-2,0-1,4-Sep,13-2
,,,,,(21-7-3),,,,,,,(10-3-1),,(10-4-1),,(1-0-1),,,(15-2-3),,(6-5-0),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(8-3-2),(13-1-1)
,127,Temple,American Athletic,,16-15,156,,171,128,193,,2-Nov,164,9-Mar,155,4-Feb,140,,10-Sep,147,5-Jul,170,,0-0,2-Jan,2-Jan,3-Jan,7-Aug,3-Jun
,,,,,(14-13-4),,,,,,,(9-2-2),,(3-7-2),,(2-4-0),,,(7-8-4),,(7-5-0),,,(0-0-0),(1-2-0),(1-2-0),(1-3-0),(7-6-2),(5-2-2)
,128,MTSU,Conference USA,,20-11,155,,178,115,170,,4-Sep,160,6-Aug,150,1-Mar,155,,13-7,163,4-Jul,140,,0-1,0-0,0-1,2-Jan,13-8,Jun-00
,,,,,(17-11-3),,,,,,,(9-4-0),,(7-6-1),,(1-1-2),,,(11-7-2),,(6-4-1),,,(0-1-0),(0-0-0),(0-1-0),(1-2-0),(10-8-3),(6-0-0)
,129,Jacksonville_St,Conference USA,,19-12,172,,182,151,252,,2-Oct,167,7-Jul,174,3-Feb,181,,14-7,164,5-May,190,,0-1,0-0,0-1,2-Jan,6-Dec,3-Jun
,,,,,(18-12-1),,,,,,,(10-2-0),,(6-7-1),,(2-3-0),,,(13-7-1),,(5-5-0),,,(0-1-0),(0-0-0),(0-1-0),(1-2-0),(12-6-0),(5-3-1)
,130,S_Dakota_St,Summit,,17-12,191,,224,143,---,,1-Oct,238,8-Apr,175,3-Mar,136,,6-Nov,221,6-Jun,147,,0-1,0-1,0-2,2-Jan,5-May,3-Nov
,,,,,(17-12-0),,,,,,,(10-1-0),,(4-8-0),,(3-3-0),,,(11-6-0),,(6-6-0),,,(0-1-0),(0-1-0),(0-2-0),(1-2-0),(5-5-0),(11-3-0)
,131,Miami_FL,Atlantic Coast,,24-Jul,111,,219,71,170,,10-Jul,148,0-10,69,0-4,54,,17-Mar,69,7-Apr,186,,0-5,0-4,0-9,10-Feb,3-Jan,2-Apr
,,,,,(7-22-2),,,,,,,(7-9-1),,(0-9-1),,(0-4-0),,,(3-16-1),,(4-6-1),,,(0-5-0),(0-4-0),(0-9-0),(2-9-1),(1-3-0),(4-1-1)
,132,North_Alabama,Atlantic Sun,,22-10,234,,271,153,210,,14-1,252,9-Jul,211,Jan-00,335,,16-5,246,5-Jun,212,,0-1,0-0,0-1,0-0,6-Mar,19-3
,,,,,(21-9-2),,,,,,,(13-0-2),,(7-9-0),,(1-0-0),,,(15-5-1),,(6-4-1),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(3-5-1),(18-3-1)
,133,Samford,Southern,,20-10,214,,268,132,140,,3-Nov,235,6-Sep,198,0-1,171,,7-Dec,228,3-Aug,190,,0-2,0-0,0-2,0-0,8-Jul,13-0
,,,,,(18-10-2),,,,,,,(10-3-1),,(8-6-1),,(0-1-0),,,(12-7-0),,(6-3-2),,,(0-2-0),(0-0-0),(0-2-0),(0-0-0),(5-8-2),(13-0-0)
,134,N_Colorado,Big Sky,,22-9,220,,251,156,149,,2-Oct,252,6-Sep,201,1-Mar,198,,17-4,247,5-May,164,,0-1,0-0,0-1,0-1,5-Jun,16-2
,,,,,(21-8-2),,,,,,,(9-2-1),,(9-5-1),,(3-1-0),,,(16-4-1),,(5-4-1),,,(0-1-0),(0-0-0),(0-1-0),(0-0-1),(6-5-0),(15-2-1)
,135,Towson,Colonial Athletic,,21-11,193,,227,143,147,,1-Nov,227,5-Sep,185,5-Jan,145,,17-3,213,8-Apr,160,,0-1,0-0,0-1,0-2,6-Aug,13-2
,,,,,(19-10-3),,,,,,,(11-1-0),,(7-5-2),,(1-4-1),,,(15-3-2),,(4-7-1),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(6-5-3),(13-2-0)
,136,Seton_Hall,Big East,,25-Jul,92,,280,66,52,,11-May,122,0-11,47,3-Feb,92,,19-Feb,45,6-May,181,,0-4,8-Feb,12-Feb,10-Jan,1-Jan,2-Mar
,,,,,(4-25-3),,,,,,,(3-11-2),,(0-11-0),,(1-3-1),,,(0-19-2),,(4-6-1),,,(0-4-0),(0-8-2),(0-12-2),(0-10-1),(1-1-0),(3-2-0)
,137,Rhode_Island,Atlantic 10,,17-13,158,,182,112,241,,13-3,152,9-Jan,143,1-Mar,216,,12-Jul,124,1-Oct,217,,0-0,0-1,0-1,4-Feb,7-Sep,1-Jun
,,,,,(16-12-2),,,,,,,(13-3-0),,(0-8-2),,(3-1-0),,,(6-12-1),,(10-0-1),,,(0-0-0),(0-1-0),(0-1-0),(2-4-0),(9-7-0),(5-0-2)
,138,CS_Northridge,Big West,,20-10,209,,256,124,182,,3-Aug,213,6-Oct,200,1-Feb,246,,14-7,197,3-Jun,239,,0-0,0-0,0-0,4-Jan,5-May,14-1
,,,,,(19-10-1),,,,,,,(8-3-0),,(9-6-1),,(2-1-0),,,(14-7-0),,(5-3-1),,,(0-0-0),(0-0-0),(0-0-0),(1-4-0),(4-5-1),(14-1-0)
,139,South_Alabama,Sun Belt,,18-11,215,,221,185,245,,4-Nov,236,6-Jul,199,0-1,100,,13-6,222,5-May,201,,0-0,0-1,0-1,2-Feb,2-Apr,6-Dec
,,,,,(14-9-6),,,,,,,(8-3-4),,(6-5-2),,(0-1-0),,,(10-4-5),,(4-5-1),,,(0-0-0),(0-1-0),(0-1-0),(2-2-0),(3-2-1),(9-4-5)
,140,Robert_Morris,Horizon League,,25-8,224,,240,169,229,,15-2,249,6-Aug,201,Feb-00,172,,18-5,217,3-Jul,240,,0-0,0-1,0-1,0-0,4-Nov,14-3
,,,,,(23-7-3),,,,,,,(14-2-1),,(8-5-1),,(1-0-1),,,(16-4-3),,(7-3-0),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(10-4-1),(13-2-2)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,Loy_Marymount,West Coast,,16-15,145,,191,96,---,,6-Oct,156,8-Mar,122,1-Mar,161,,11-Sep,137,4-Jul,158,,0-4,0-1,0-5,4-Mar,3-Jun,3-Jul
,,,,,(16-15-0),,,,,,,(10-6-0),,(3-8-0),,(3-1-0),,,(9-11-0),,(7-4-0),,,(0-4-0),(0-1-0),(0-5-0),(3-4-0),(6-3-0),(7-3-0)
,142,Col_Charleston,Colonial Athletic,,23-9,189,,211,144,175,,2-Dec,192,5-Jul,204,2-Apr,151,,14-6,208,3-Sep,158,,0-0,0-0,0-0,2-Feb,5-Sep,2-Dec
,,,,,(20-9-3),,,,,,,(10-2-2),,(7-5-0),,(3-2-1),,,(12-6-2),,(8-3-1),,,(0-0-0),(0-0-0),(0-0-0),(2-2-0),(7-5-2),(11-2-1)
,143,Kent,Mid-American,,20-11,208,,246,136,158,,4-Sep,231,6-Aug,200,1-Mar,159,,8-Dec,229,3-Aug,168,,0-2,0-0,0-2,1-Jan,6-Apr,15-2
,,,,,(20-10-1),,,,,,,(9-4-0),,(8-5-1),,(3-1-0),,,(12-7-1),,(8-3-0),,,(0-2-0),(0-0-0),(0-2-0),(1-1-0),(4-5-1),(15-2-0)
,144,New_Mexico_St,Conference USA,,14-15,167,,200,148,41,,6-Jun,187,6-Aug,143,0-3,204,,9-Oct,163,6-Apr,177,,0-0,1-Jan,1-Jan,0-4,7-Aug,3-May
,,,,,(13-15-1),,,,,,,(6-6-0),,(7-6-1),,(0-3-0),,,(10-9-0),,(3-6-1),,,(0-0-0),(0-1-1),(0-1-1),(0-4-0),(8-7-0),(5-3-0)
,145,UC_Riverside,Big West,,19-12,175,,223,131,108,,1-Dec,201,10-Jul,156,0-1,176,,14-7,197,5-May,130,,0-1,1-Jan,2-Jan,4-Feb,3-Jul,3-Sep
,,,,,(16-11-4),,,,,,,(10-1-2),,(6-9-2),,(0-1-0),,,(13-6-2),,(3-5-2),,,(0-1-0),(0-1-1),(0-2-1),(1-4-1),(6-2-2),(9-3-0)
,146,San_Jose_St,Mountain West,,13-19,136,,188,100,191,,8-Jun,135,9-Mar,114,2-Apr,180,,14-Aug,107,5-May,200,,0-0,6-Jan,6-Jan,0-9,1-Jul,3-May
,,,,,(11-19-2),,,,,,,(5-8-1),,(2-9-1),,(4-2-0),,,(7-14-1),,(4-5-1),,,(0-0-0),(1-6-0),(1-6-0),(0-9-0),(6-1-1),(4-3-1)
,147,Cal_Baptist,Western Athletic,,17-15,196,,249,133,220,,5-Nov,213,9-Apr,179,1-Feb,183,,8-Oct,220,7-Jul,166,,0-0,0-1,0-1,5-Jan,6-Feb,14-3
,,,,,(16-14-2),,,,,,,(11-5-0),,(4-8-1),,(1-1-1),,,(10-7-1),,(6-7-1),,,(0-0-0),(0-1-0),(0-1-0),(1-5-0),(2-6-0),(13-2-2)
,148,N_Dakota_St,Summit,,18-11,204,,226,171,200,,4-Aug,208,6-Aug,193,1-Feb,236,,7-Oct,220,4-Aug,181,,0-0,0-0,0-0,Feb-00,8-Mar,13-3
,,,,,(15-10-4),,,,,,,(6-4-2),,(7-5-2),,(2-1-0),,,(8-7-2),,(7-3-2),,,(0-0-0),(0-0-0),(0-0-0),(1-0-1),(3-7-1),(11-3-2)
,149,Massachusetts,Atlantic 10,,20-Nov,148,,192,118,206,,8-Jul,177,7-Apr,120,0-5,120,,12-Jul,117,8-Apr,196,,0-0,0-2,0-2,5-Jan,10-Jul,3-Mar
,,,,,(10-19-2),,,,,,,(7-7-1),,(3-7-1),,(0-5-0),,,(6-12-1),,(4-7-1),,,(0-0-0),(0-2-0),(0-2-0),(1-5-0),(6-10-1),(3-2-1)
,150,Boston_College,Atlantic Coast,,19-Dec,120,,196,73,98,,8-Sep,142,0-10,76,1-Mar,137,,16-Apr,71,3-Aug,209,,0-3,3-Jan,6-Jan,11-Feb,1-Apr,1-May
,,,,,(11-16-4),,,,,,,(9-7-1),,(0-8-2),,(2-1-1),,,(4-13-3),,(7-3-1),,,(0-3-0),(1-2-1),(1-5-1),(2-9-2),(3-1-1),(5-1-0)
,151,WI_Milwaukee,Horizon League,,19-11,199,,215,164,253,,3-Nov,205,8-Jul,198,Jan-00,112,,14-7,218,4-May,154,,0-0,0-0,0-0,0-1,8-Aug,2-Nov
,,,,,(17-11-2),,,,,,,(10-3-1),,(6-8-1),,(1-0-0),,,(12-7-2),,(5-4-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(8-8-0),(9-2-2)
,152,Kennesaw,Conference USA,,16-14,158,,173,141,172,,3-Sep,171,9-May,155,2-Feb,126,,9-Nov,158,5-May,157,,0-0,0-0,0-0,4-Feb,8-Sep,2-May
,,,,,(14-14-2),,,,,,,(8-3-1),,(5-9-0),,(1-2-1),,,(10-9-1),,(4-5-1),,,(0-0-0),(0-0-0),(0-0-0),(2-4-0),(8-8-1),(4-2-1)
,153,Bryant,America East,,21-11,250,,284,180,235,,3-Oct,284,7-Oct,229,1-Jan,212,,17-2,292,9-Apr,189,,0-1,0-0,0-1,0-1,4-Jan,20-5
,,,,,(21-10-1),,,,,,,(10-2-1),,(10-7-0),,(1-1-0),,,(17-2-0),,(4-8-1),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(1-4-0),(20-4-1)
,154,Seattle,Western Athletic,,18-Dec,192,,235,164,---,,5-Jul,206,12-Apr,179,1-Jan,215,,9-Sep,218,9-Mar,154,,0-1,0-0,0-1,3-Jan,9-Feb,5-Sep
,,,,,(12-18-0),,,,,,,(7-5-0),,(4-12-0),,(1-1-0),,,(9-9-0),,(3-9-0),,,(0-1-0),(0-0-0),(0-1-0),(1-3-0),(2-9-0),(9-5-0)
,155,UC_Santa_Barbara,Big West,,19-13,201,,245,137,---,,5-Oct,221,8-Jul,184,Feb-00,189,,13-10,191,3-Jun,229,,0-0,0-0,0-0,0-5,6-May,14-2
,,,,,(19-13-0),,,,,,,(10-5-0),,(7-8-0),,(2-0-0),,,(13-10-0),,(6-3-0),,,(0-0-0),(0-0-0),(0-0-0),(0-5-0),(5-6-0),(14-2-0)
,156,La_Salle,Atlantic 10,,13-19,137,,184,109,105,,5-Sep,164,10-Feb,103,4-Feb,143,,15-Jun,110,4-Jul,189,,0-0,0-2,0-2,7-Jan,9-Aug,1-Apr
,,,,,(12-19-1),,,,,,,(9-5-0),,(1-10-1),,(2-4-0),,,(5-15-1),,(7-4-0),,,(0-0-0),(0-2-0),(0-2-0),(1-7-0),(7-9-1),(4-1-0)
,157,Oakland,Horizon League,,15-18,184,,233,133,213,,4-Aug,233,11-Jun,173,3-Jan,83,,13-10,218,8-Feb,105,,0-3,0-2,0-5,1-Jan,8-Apr,4-Oct
,,,,,(12-15-6),,,,,,,(6-4-2),,(5-10-2),,(1-1-2),,,(10-9-4),,(2-6-2),,,(0-3-0),(0-2-0),(0-5-0),(1-0-1),(3-7-2),(8-3-3)
,158,Miami_OH,Mid-American,,23-9,228,,258,162,143,,14-1,247,7-Jun,207,1-Mar,223,,16-5,239,4-Jul,206,,0-1,0-1,0-2,0-0,3-May,18-4
,,,,,(22-9-1),,,,,,,(13-1-1),,(6-7-0),,(3-1-0),,,(15-5-1),,(7-4-0),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(4-3-1),(18-4-0)
,159,East_Carolina,American Athletic,,17-14,163,,201,126,150,,6-Oct,173,7-Apr,134,1-Mar,203,,9-Nov,143,5-Jun,200,,0-0,0-1,0-1,3-Feb,9-Aug,1-Jul
,,,,,(14-13-4),,,,,,,(8-6-2),,(3-6-2),,(3-1-0),,,(9-8-3),,(5-5-1),,,(0-0-0),(0-1-0),(0-1-0),(1-3-1),(7-8-2),(6-1-1)
,160,Wyoming,Mountain West,,20-Nov,137,,229,87,206,,7-Jul,155,10-Mar,128,3-Jan,105,,16-May,108,4-Jun,198,,0-2,0-6,0-8,6-Feb,4-Jan,2-Aug
,,,,,(10-20-1),,,,,,,(6-7-1),,(3-10-0),,(1-3-0),,,(4-16-1),,(6-4-0),,,(0-2-0),(0-6-0),(0-8-0),(2-6-0),(1-4-0),(7-2-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,Louisiana_Tech,Conference USA,,17-12,169,,188,145,169,,4-Aug,172,7-May,167,1-Apr,168,,10-Sep,160,2-Aug,188,,0-0,0-1,0-1,1-Feb,9-Jul,1-Aug
,,,,,(15-11-3),,,,,,,(7-4-1),,(5-7-0),,(3-0-2),,,(8-9-2),,(7-2-1),,,(0-0-0),(0-1-0),(0-1-0),(2-1-0),(6-8-2),(7-1-1)
,162,Wofford,Southern,,17-15,202,,232,162,242,,6-May,224,8-Aug,188,1-Apr,198,,13-8,226,7-Apr,155,,0-1,0-0,0-1,0-0,11-Aug,3-Sep
,,,,,(16-14-2),,,,,,,(5-6-0),,(7-7-2),,(4-1-0),,,(12-7-2),,(4-7-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(8-10-1),(8-3-1)
,163,Omaha,Summit,,20-12,204,,230,160,---,,2-Sep,213,9-Jul,194,1-Apr,216,,16-3,213,9-Apr,190,,0-1,0-0,0-1,0-2,5-Jul,13-4
,,,,,(20-12-0),,,,,,,(9-2-0),,(7-9-0),,(4-1-0),,,(16-3-0),,(4-9-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(7-5-0),(13-4-0)
,164,Rice,American Athletic,,13-18,182,,248,129,234,,7-Jul,193,8-Apr,174,3-Feb,171,,15-Apr,143,3-Sep,245,,0-0,0-2,0-2,4-Jan,8-Jan,4-Nov
,,,,,(12-17-2),,,,,,,(6-7-1),,(4-8-0),,(2-2-1),,,(4-15-0),,(8-2-2),,,(0-0-0),(0-2-0),(0-2-0),(1-4-0),(1-8-0),(10-3-2)
,165,Cornell,Ivy League,,16-11,217,,250,171,---,,5-Jul,220,5-Aug,222,1-Jan,176,,6-Oct,239,5-Jun,185,,0-0,0-0,0-0,1-Jan,6-Jan,14-4
,,,,,(16-11-0),,,,,,,(7-5-0),,(8-5-0),,(1-1-0),,,(10-6-0),,(6-5-0),,,(0-0-0),(0-0-0),(0-0-0),(1-1-0),(1-6-0),(14-4-0)
,166,ETSU,Southern,,17-13,219,,251,176,---,,3-Nov,235,9-Jun,207,0-1,162,,7-Dec,224,6-May,209,,0-0,0-0,0-0,0-0,10-Jun,3-Nov
,,,,,(17-13-0),,,,,,,(11-3-0),,(6-9-0),,(0-1-0),,,(12-7-0),,(5-6-0),,,(0-0-0),(0-0-0),(0-0-0),(0-0-0),(6-10-0),(11-3-0)
,167,IL_Chicago,Missouri Valley,,15-14,150,,161,132,196,,5-Jul,154,6-Jul,142,3-Jan,168,,11-Oct,148,3-May,158,,0-0,0-1,0-1,1-Jan,12-Oct,Apr-00
,,,,,(12-14-3),,,,,,,(5-5-2),,(6-6-1),,(1-3-0),,,(9-11-1),,(3-3-2),,,(0-0-0),(0-1-0),(0-1-0),(1-1-0),(9-12-1),(2-0-2)
,168,UNC_Greensboro,Southern,,17-12,212,,243,169,---,,3-Aug,213,6-Aug,207,3-Jan,229,,13-6,232,6-Apr,176,,0-0,0-2,0-2,0-0,7-Aug,3-Sep
,,,,,(17-12-0),,,,,,,(8-3-0),,(8-6-0),,(1-3-0),,,(13-6-0),,(4-6-0),,,(0-0-0),(0-2-0),(0-2-0),(0-0-0),(8-7-0),(9-3-0)
,169,S_Illinois,Missouri Valley,,19-Dec,151,,191,123,178,,8-Jun,152,7-May,147,4-Jan,155,,13-Sep,146,6-Mar,161,,0-1,0-0,0-1,0-3,14-Sep,1-Mar
,,,,,(11-18-2),,,,,,,(5-8-1),,(5-7-0),,(1-3-1),,,(8-13-1),,(3-5-1),,,(0-1-0),(0-0-0),(0-1-0),(0-3-0),(8-13-2),(3-1-0)
,170,Drexel,Colonial Athletic,,17-15,211,,251,167,159,,6-Jul,175,7-Jul,235,2-Mar,236,,10-Oct,203,5-Jul,224,,0-0,0-0,0-0,0-1,10-Mar,14-4
,,,,,(17-12-3),,,,,,,(7-4-2),,(7-6-1),,(3-2-0),,,(10-7-3),,(7-5-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(3-8-2),(14-3-1)
,171,Furman,Southern,,22-9,203,,214,155,278,,3-Oct,213,5-Sep,211,1-Mar,143,,13-8,215,1-Sep,178,,0-1,0-0,0-1,0-0,7-Oct,1-Dec
,,,,,(19-9-3),,,,,,,(9-3-1),,(8-5-1),,(2-1-1),,,(10-8-3),,(9-1-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(9-7-1),(10-1-2)
,172,UTEP,Conference USA,,15-15,164,,194,134,128,,5-Aug,174,8-Apr,145,2-Mar,182,,12-Aug,159,3-Jul,172,,0-1,0-0,0-1,2-Jan,11-Jul,1-Jul
,,,,,(15-14-1),,,,,,,(8-4-1),,(4-8-0),,(3-2-0),,,(8-11-1),,(7-3-0),,,(0-1-0),(0-0-0),(0-1-0),(1-2-0),(7-10-1),(7-1-0)
,173,James_Madison,Sun Belt,,18-12,194,,222,147,208,,2-Nov,196,8-May,216,2-Feb,120,,13-6,226,6-May,139,,0-0,0-0,0-0,3-Jan,4-Jul,5-Oct
,,,,,(18-11-1),,,,,,,(11-2-0),,(5-7-1),,(2-2-0),,,(13-5-1),,(5-6-0),,,(0-0-0),(0-0-0),(0-0-0),(1-3-0),(7-4-0),(10-4-1)
,174,WKU,Conference USA,,15-15,156,,179,136,123,,5-Nov,163,9-Apr,139,0-1,252,,11-Aug,165,4-Jul,140,,0-2,0-0,0-2,2-Jan,8-Sep,3-May
,,,,,(14-15-1),,,,,,,(10-5-1),,(4-9-0),,(0-1-0),,,(8-11-0),,(6-4-1),,,(0-2-0),(0-0-0),(0-2-0),(1-2-0),(8-8-1),(5-3-0)
,175,Cleveland_St,Horizon League,,18-12,207,,241,155,157,,4-Nov,232,7-Jul,180,0-1,188,,15-7,217,5-Mar,178,,0-1,0-0,0-1,0-2,6-Jul,3-Nov
,,,,,(18-11-1),,,,,,,(11-4-0),,(7-6-1),,(0-1-0),,,(15-6-1),,(3-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(7-5-1),(11-3-0)
,176,Cal_Poly,Big West,,15-19,178,,246,129,165,,5-Aug,207,14-May,156,Feb-00,197,,13-Oct,190,6-May,151,,0-1,0-0,0-1,8-Jan,7-Mar,3-Nov
,,,,,(13-17-4),,,,,,,(6-4-3),,(5-13-1),,(2-0-0),,,(9-12-2),,(4-5-2),,,(0-1-0),(0-0-0),(0-1-0),(1-7-1),(2-6-2),(10-3-1)
,177,Marshall,Sun Belt,,18-13,219,,249,180,139,,3-Dec,234,9-May,207,1-Jan,186,,13-7,224,6-May,209,,0-1,0-0,0-1,1-Jan,6-Feb,15-5
,,,,,(18-12-1),,,,,,,(12-3-0),,(5-8-1),,(1-1-0),,,(13-6-1),,(5-6-0),,,(0-1-0),(0-0-0),(0-1-0),(1-1-0),(2-5-1),(15-5-0)
,178,Ohio,Mid-American,,15-16,211,,241,185,178,,3-Nov,231,10-Mar,194,3-Jan,201,,9-Oct,225,7-May,190,,0-0,0-1,0-1,0-0,7-Apr,8-Nov
,,,,,(15-14-2),,,,,,,(11-3-0),,(3-10-0),,(1-1-2),,,(10-8-1),,(5-6-1),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(4-6-1),(11-7-1)
,179,South_Florida,American Athletic,,19-Nov,153,,232,112,127,,6-Jul,186,10-Feb,122,3-Feb,139,,13-Jun,126,6-May,198,,0-1,0-2,0-3,0-5,9-May,2-Jun
,,,,,(10-19-1),,,,,,,(6-6-1),,(2-10-0),,(2-3-0),,,(5-13-1),,(5-6-0),,,(0-1-0),(0-2-0),(0-3-0),(0-5-0),(4-9-1),(6-2-0)
