Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,20,Purdue,Big Ten,,22-11,64,,83,27,---,,14-2,79,7-May,52,2-Mar,47,,14-8,50,3-Aug,93,,6-Feb,3-Apr,9-Jun,2-Oct,Apr-00,Feb-00
,,,,,(22-11-0),,,,,,,(14-2-0),,(5-7-0),,(3-2-0),,,(14-8-0),,(8-3-0),,,(2-6-0),(4-3-0),(6-9-0),(10-2-0),(4-0-0),(2-0-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,BYU,Big 12,,24-9,103,,136,37,38,,15-2,143,6-Jun,51,1-Mar,92,,14-7,45,2-Oct,205,,4-Apr,1-Mar,5-Jul,4-Jul,Mar-00,Jul-00
,,,,,(22-7-4),,,,,,,(14-2-1),,(5-5-2),,(3-0-1),,,(12-6-3),,(10-1-1),,,(3-4-1),(2-0-2),(5-4-3),(7-3-1),(3-0-0),(7-0-0)
,22,Illinois,Big Ten,,21-12,82,,113,21,60,,13-4,118,6-May,51,2-Mar,28,,13-9,46,3-Aug,152,,8-Mar,May-00,8-Aug,4-Jun,Feb-00,May-00
,,,,,(21-10-2),,,,,,,(13-4-0),,(5-4-2),,(3-2-0),,,(13-7-2),,(8-3-0),,,(3-8-0),(5-0-0),(8-8-0),(6-2-2),(2-0-0),(5-0-0)
,23,Texas_A&M,Southeastern,,21-10,66,,82,30,45,,3-Dec,94,5-May,42,2-Apr,37,,8-Nov,38,2-Oct,110,,4-Apr,4-Aug,8-Dec,2-May,Jan-00,Mar-00
,,,,,(21-9-1),,,,,,,(12-3-0),,(5-5-0),,(4-1-1),,,(11-7-1),,(10-2-0),,,(4-4-0),(8-3-1),(12-7-1),(5-2-0),(1-0-0),(3-0-0)
,24,St_Mary's_CA,West Coast,,27-5,129,,143,47,114,,15-1,139,1-Sep,143,3-Mar,79,,18-2,145,3-Sep,102,,1-Feb,0-2,3-Feb,2-Sep,Sep-00,Jul-00
,,,,,(26-4-2),,,,,,,(14-1-1),,(9-1-0),,(3-2-1),,,(18-2-0),,(8-2-2),,,(2-1-0),(0-1-1),(2-2-1),(9-2-0),(8-0-1),(7-0-0)
,25,Louisville,Atlantic Coast,,27-7,98,,118,28,49,,15-3,110,2-Sep,99,2-Mar,47,,20-3,85,4-Jul,124,,4-Feb,2-Feb,6-Apr,Oct-00,1-Nov,Feb-00
