Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,(18-13-1),,,,,,,(11-4-0),,(5-6-1),,(2-3-0),,,(11-10-1),,(7-3-0),,,(0-0-0),(0-0-0),(0-0-0),(2-4-0),(8-6-1),(8-3-0)
,120,Syracuse,Atlantic Coast,,14-19,106,,165,55,176,,6-Nov,132,9-Feb,95,4-Jan,42,,14-Aug,90,5-Jun,138,,0-6,0-2,0-8,9-Feb,2-Sep,Mar-00
,,,,,(12-18-3),,,,,,,(9-6-2),,(2-8-1),,(1-4-0),,,(7-13-2),,(5-5-1),,,(0-6-0),(0-2-0),(0-8-0),(2-9-0),(7-1-3),(3-0-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,Washington,Big Ten,,18-Dec,91,,156,48,55,,9-Aug,124,9-Feb,48,Feb-00,50,,16-Apr,44,2-Aug,186,,4-Jan,6-Jan,10-Feb,7-Apr,1-Jan,May-00
,,,,,(12-16-2),,,,,,,(8-7-2),,(2-9-0),,(2-0-0),,,(4-14-2),,(8-2-0),,,(1-4-0),(1-5-1),(2-9-1),(4-6-1),(1-1-0),(5-0-0)
,122,Wichita_St,American Athletic,,18-14,154,,178,138,65,,6-Oct,168,7-May,152,1-Mar,104,,11-Sep,158,3-Sep,147,,0-1,2-Jan,3-Jan,3-Feb,4-Sep,4-Jun
,,,,,(16-14-2),,,,,,,(9-6-1),,(5-7-0),,(2-1-1),,,(8-11-1),,(8-3-1),,,(0-1-0),(0-2-1),(0-3-1),(1-3-1),(9-4-0),(6-4-0)
,123,Wofford,Southern,,17-15,194,,227,152,234,,6-May,216,8-Aug,182,1-Apr,186,,13-8,221,7-Apr,144,,0-1,0-0,0-1,0-1,10-Aug,3-Sep
,,,,,(16-14-2),,,,,,,(5-6-0),,(7-7-2),,(4-1-0),,,(12-7-2),,(4-7-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(8-9-1),(8-3-1)
,124,Samford,Southern,,20-10,204,,260,119,124,,3-Nov,225,6-Sep,189,0-1,146,,7-Dec,219,3-Aug,178,,0-2,0-0,0-2,0-0,8-Aug,Dec-00
,,,,,(18-10-2),,,,,,,(10-3-1),,(8-6-1),,(0-1-0),,,(12-7-0),,(6-3-2),,,(0-2-0),(0-0-0),(0-2-0),(0-0-0),(6-8-2),(12-0-0)
,125,Jacksonville_St,Conference USA,,19-12,168,,178,144,275,,2-Oct,160,7-Jul,172,3-Feb,175,,14-7,158,5-May,190,,0-1,0-0,0-1,2-Jan,6-Dec,3-Jun
,,,,,(18-12-1),,,,,,,(10-2-0),,(6-7-1),,(2-3-0),,,(13-7-1),,(5-5-0),,,(0-1-0),(0-0-0),(0-1-0),(1-2-0),(12-6-0),(5-3-1)
,126,CS_Northridge,Big West,,20-10,212,,265,117,165,,3-Aug,218,6-Oct,200,1-Feb,256,,14-7,202,3-Jun,236,,0-0,0-2,0-2,2-Jan,5-May,14-1
,,,,,(19-10-1),,,,,,,(8-3-0),,(9-6-1),,(2-1-0),,,(14-7-0),,(5-3-1),,,(0-0-0),(0-2-0),(0-2-0),(1-2-0),(4-5-1),(14-1-0)
,127,Bryant,America East,,21-11,243,,275,177,230,,3-Oct,275,7-Oct,221,1-Jan,225,,17-2,282,9-Apr,186,,0-1,0-0,0-1,0-1,3-May,16-6
,,,,,(21-10-1),,,,,,,(10-2-1),,(10-7-0),,(1-1-0),,,(17-2-0),,(4-8-1),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(5-3-0),(16-5-1)
,128,Kent,Mid-American,,20-11,205,,247,127,148,,4-Sep,229,6-Aug,198,1-Mar,153,,8-Dec,225,3-Aug,169,,0-2,0-0,0-2,3-Jan,4-Apr,15-2
,,,,,(20-10-1),,,,,,,(9-4-0),,(8-5-1),,(3-1-0),,,(12-7-1),,(8-3-0),,,(0-2-0),(0-0-0),(0-2-0),(1-3-0),(4-3-1),(15-2-0)
,129,Belmont,Missouri Valley,,21-11,168,,194,125,119,,5-Oct,175,4-Sep,173,2-Feb,125,,14-8,159,3-Jul,188,,0-0,0-0,0-0,4-Feb,5-Sep,2-Oct
,,,,,(20-11-1),,,,,,,(9-5-1),,(9-4-0),,(2-2-0),,,(13-8-1),,(7-3-0),,,(0-0-0),(0-0-0),(0-0-0),(2-4-0),(8-5-1),(10-2-0)
,130,Loyola-Chicago,Atlantic 10,,21-11,165,,200,99,130,,16-1,192,5-May,147,0-5,109,,13-7,122,4-Aug,237,,0-0,0-2,0-2,4-Feb,5-Jul,Dec-00
,,,,,(20-9-3),,,,,,,(16-1-0),,(4-3-3),,(0-5-0),,,(12-5-3),,(8-4-0),,,(0-0-0),(0-2-0),(0-2-0),(2-2-2),(7-5-0),(11-0-1)
,131,N_Dakota_St,Summit,,18-11,206,,230,170,203,,4-Aug,208,6-Aug,197,1-Feb,234,,7-Oct,219,4-Aug,187,,0-0,0-0,0-0,Feb-00,8-Mar,13-3
,,,,,(15-10-4),,,,,,,(6-4-2),,(7-5-2),,(2-1-0),,,(8-7-2),,(7-3-2),,,(0-0-0),(0-0-0),(0-0-0),(1-0-1),(3-7-1),(11-3-2)
,132,Murray_St,Missouri Valley,,15-17,164,,194,126,172,,5-Jun,172,8-Jun,157,4-Mar,162,,12-Oct,161,5-May,169,,0-0,0-0,0-0,6-Jan,7-Jul,4-Jul
,,,,,(15-13-4),,,,,,,(6-5-0),,(6-5-3),,(3-3-1),,,(10-10-2),,(5-3-2),,,(0-0-0),(0-0-0),(0-0-0),(1-5-1),(7-5-2),(7-3-1)
,133,Robert_Morris,Horizon League,,25-8,226,,242,166,240,,15-2,250,6-Aug,203,Feb-00,178,,18-5,221,3-Jul,236,,0-0,0-1,0-1,0-0,5-Nov,14-2
,,,,,(23-7-3),,,,,,,(14-2-1),,(8-5-1),,(1-0-1),,,(16-4-3),,(7-3-0),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(10-5-1),(13-1-2)
,134,Seattle,Western Athletic,,18-Dec,189,,238,156,---,,5-Jul,202,12-Apr,178,1-Jan,202,,9-Sep,220,9-Mar,142,,0-1,Jan-00,1-Jan,0-3,10-Feb,4-Sep
,,,,,(12-18-0),,,,,,,(7-5-0),,(4-12-0),,(1-1-0),,,(9-9-0),,(3-9-0),,,(0-1-0),(1-0-0),(1-1-0),(0-3-0),(2-10-0),(9-4-0)
,135,DePaul,Big East,,14-19,120,,206,38,143,,8-Nov,162,10-Feb,63,1-Jan,64,,17-May,69,2-Sep,223,,0-5,0-9,0-14,4-Apr,Feb-00,1-Aug
,,,,,(13-15-5),,,,,,,(10-6-3),,(2-9-1),,(1-0-1),,,(5-13-4),,(8-2-1),,,(0-4-1),(0-8-1),(0-12-2),(4-3-1),(2-0-0),(7-0-2)
,136,Omaha,Summit,,20-12,202,,232,153,---,,2-Sep,211,9-Jul,196,1-Apr,204,,16-3,214,9-Apr,186,,0-1,0-0,0-1,0-3,4-Jul,13-4
,,,,,(20-12-0),,,,,,,(9-2-0),,(7-9-0),,(4-1-0),,,(16-3-0),,(4-9-0),,,(0-1-0),(0-0-0),(0-1-0),(0-3-0),(7-4-0),(13-4-0)
,137,Norfolk State,Mid-Eastern,,21-10,242,,284,149,232,,1-Sep,282,9-Aug,215,Apr-00,253,,14-3,301,7-Jul,170,,0-1,0-1,0-2,2-Jan,2-Mar,17-4
,,,,,(20-9-2),,,,,,,(8-1-1),,(8-8-1),,(4-0-0),,,(13-2-2),,(7-7-0),,,(0-1-0),(0-1-0),(0-2-0),(1-2-0),(2-2-1),(17-3-1)
,138,Duquesne,Atlantic 10,,19-Dec,145,,153,147,89,,7-Aug,134,8-Feb,143,4-Feb,177,,11-Aug,129,8-Apr,171,,0-0,0-1,0-1,4-Mar,8-Jun,6-Mar
,,,,,(11-18-2),,,,,,,(7-7-1),,(2-7-1),,(2-4-0),,,(7-10-2),,(4-8-0),,,(0-0-0),(0-1-0),(0-1-0),(2-4-1),(6-7-1),(3-6-0)
,139,WI_Milwaukee,Horizon League,,19-11,200,,216,165,266,,3-Nov,204,8-Jul,205,Jan-00,90,,14-7,223,4-May,148,,0-0,0-0,0-0,1-Jan,8-Jul,2-Nov
,,,,,(17-11-2),,,,,,,(10-3-1),,(6-8-1),,(1-0-0),,,(12-7-2),,(5-4-0),,,(0-0-0),(0-0-0),(0-0-0),(1-1-0),(7-8-0),(9-2-2)
,140,Tulane,American Athletic,,17-14,181,,216,122,352,,13-3,212,7-Apr,158,0-4,118,,13-7,160,7-Apr,220,,0-0,0-2,0-2,4-Jan,5-Jul,3-Sep
,,,,,(17-13-1),,,,,,,(13-2-1),,(4-7-0),,(0-4-0),,,(13-7-0),,(4-6-1),,,(0-0-0),(0-2-0),(0-2-0),(1-4-0),(7-5-0),(9-2-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,Towson,Colonial Athletic,,21-11,187,,221,138,137,,1-Nov,221,5-Sep,180,5-Jan,138,,17-3,209,8-Apr,151,,0-1,0-0,0-1,2-Jan,7-Nov,1-Sep
,,,,,(19-10-3),,,,,,,(11-1-0),,(7-5-2),,(1-4-1),,,(15-3-2),,(4-7-1),,,(0-1-0),(0-0-0),(0-1-0),(0-2-1),(10-6-2),(9-1-0)
,142,South_Alabama,Sun Belt,,18-11,211,,215,182,244,,4-Nov,232,6-Jul,196,0-1,84,,13-6,220,5-May,193,,0-0,0-1,0-1,4-Mar,Apr-00,6-Nov
,,,,,(14-9-6),,,,,,,(8-3-4),,(6-5-2),,(0-1-0),,,(10-4-5),,(4-5-1),,,(0-0-0),(0-1-0),(0-1-0),(3-4-0),(3-0-1),(8-4-5)
,143,UC_Riverside,Big West,,19-12,176,,228,130,95,,1-Dec,200,10-Jul,158,0-1,172,,14-7,201,5-May,124,,0-1,2-Feb,3-Feb,3-Jan,3-Jul,3-Sep
,,,,,(16-11-4),,,,,,,(10-1-2),,(6-9-2),,(0-1-0),,,(13-6-2),,(3-5-2),,,(0-1-0),(1-2-1),(1-3-1),(0-3-1),(6-2-2),(9-3-0)
,144,Louisiana_Tech,Conference USA,,17-12,169,,192,136,174,,4-Aug,164,7-May,167,1-Apr,186,,10-Sep,155,2-Aug,195,,0-0,0-1,0-1,1-Feb,9-Jun,1-Sep
,,,,,(15-11-3),,,,,,,(7-4-1),,(5-7-0),,(3-0-2),,,(8-9-2),,(7-2-1),,,(0-0-0),(0-1-0),(0-1-0),(2-1-0),(5-8-2),(8-1-1)
,145,Col_Charleston,Colonial Athletic,,23-9,189,,214,137,177,,2-Dec,186,5-Jul,203,2-Apr,168,,14-6,204,3-Sep,164,,0-0,0-0,0-0,5-Jan,2-Nov,2-Nov
,,,,,(20-9-3),,,,,,,(10-2-2),,(7-5-0),,(3-2-1),,,(12-6-2),,(8-3-1),,,(0-0-0),(0-0-0),(0-0-0),(1-5-0),(9-2-2),(10-2-1)
,146,Furman,Southern,,22-9,195,,208,140,274,,3-Oct,206,5-Sep,206,1-Mar,122,,13-8,206,1-Sep,172,,0-1,0-0,0-1,0-0,7-Dec,1-Oct
,,,,,(19-9-3),,,,,,,(9-3-1),,(8-5-1),,(2-1-1),,,(10-8-3),,(9-1-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(11-7-1),(8-1-2)
,147,Kennesaw,Conference USA,,16-14,153,,168,136,174,,3-Sep,166,9-May,153,2-Feb,119,,9-Nov,151,5-May,157,,0-0,0-0,0-0,4-Feb,8-Sep,2-May
,,,,,(14-14-2),,,,,,,(8-3-1),,(5-9-0),,(1-2-1),,,(10-9-1),,(4-5-1),,,(0-0-0),(0-0-0),(0-0-0),(2-4-0),(8-8-1),(4-2-1)
,148,Miami_OH,Mid-American,,23-9,225,,257,159,128,,14-1,246,7-Jun,204,1-Mar,220,,16-5,235,4-Jul,206,,0-0,0-1,0-1,3-Jan,1-May,17-4
,,,,,(22-9-1),,,,,,,(13-1-1),,(6-7-0),,(3-1-0),,,(15-5-1),,(7-4-0),,,(0-0-0),(0-1-0),(0-1-0),(1-3-0),(4-1-1),(17-4-0)
,149,Cal_Baptist,Western Athletic,,17-15,197,,251,125,265,,5-Nov,204,9-Apr,183,1-Feb,217,,8-Oct,220,7-Jul,167,,0-0,0-1,0-1,5-Jan,6-Feb,14-3
,,,,,(16-14-2),,,,,,,(11-5-0),,(4-8-1),,(1-1-1),,,(10-7-1),,(6-7-1),,,(0-0-0),(0-1-0),(0-1-0),(1-5-0),(2-6-0),(13-2-2)
,150,New_Mexico_St,Conference USA,,14-15,165,,199,145,31,,6-Jun,181,6-Aug,140,0-3,220,,9-Oct,156,6-Apr,182,,0-0,1-Jan,1-Jan,0-4,6-Aug,4-May
,,,,,(13-15-1),,,,,,,(6-6-0),,(7-6-1),,(0-3-0),,,(10-9-0),,(3-6-1),,,(0-0-0),(0-1-1),(0-1-1),(0-4-0),(8-6-0),(5-4-0)
,151,Virginia_Tech,Atlantic Coast,,13-19,117,,191,68,114,,9-Aug,143,5-May,99,0-5,68,,13-Aug,90,6-May,169,,0-4,0-2,0-6,8-Feb,5-Jul,Apr-00
,,,,,(12-18-2),,,,,,,(7-9-1),,(5-5-0),,(0-4-1),,,(7-12-2),,(5-6-0),,,(0-4-0),(0-2-0),(0-6-0),(2-8-0),(6-4-2),(4-0-0)
,152,ETSU,Southern,,17-13,213,,250,164,---,,3-Nov,227,9-Jun,206,0-1,123,,7-Dec,215,6-May,209,,0-0,0-0,0-0,0-0,11-Jun,2-Nov
,,,,,(17-13-0),,,,,,,(11-3-0),,(6-9-0),,(0-1-0),,,(12-7-0),,(5-6-0),,,(0-0-0),(0-0-0),(0-0-0),(0-0-0),(6-11-0),(11-2-0)
,153,Montana,Big Sky,,22-9,196,,236,87,201,,13-1,231,8-Jul,166,Feb-00,181,,18-3,232,6-Apr,121,,0-1,0-2,0-3,0-1,3-Jun,16-2
,,,,,(22-8-1),,,,,,,(13-1-0),,(7-7-1),,(2-0-0),,,(18-2-1),,(4-6-0),,,(0-1-0),(0-2-0),(0-3-0),(0-1-0),(6-3-0),(16-1-1)
,154,Davidson,Atlantic 10,,16-16,167,,237,96,---,,6-Oct,193,7-Apr,161,3-Feb,95,,13-Jul,145,3-Sep,202,,0-2,0-1,0-3,4-Jan,8-Feb,13-1
,,,,,(16-16-0),,,,,,,(10-6-0),,(4-7-0),,(2-3-0),,,(7-13-0),,(9-3-0),,,(0-2-0),(0-1-0),(0-3-0),(1-4-0),(2-8-0),(13-1-0)
,155,Temple,American Athletic,,16-15,173,,184,146,223,,2-Nov,177,9-Mar,173,4-Feb,165,,10-Sep,164,5-Jul,187,,0-0,2-Jan,2-Jan,3-Jan,5-Jul,5-Jul
,,,,,(14-13-4),,,,,,,(9-2-2),,(3-7-2),,(2-4-0),,,(7-8-4),,(7-5-0),,,(0-0-0),(1-2-0),(1-2-0),(1-3-0),(6-5-1),(6-3-3)
,156,UNC_Greensboro,Southern,,17-12,209,,238,168,---,,3-Aug,202,6-Aug,202,3-Jan,252,,13-6,225,6-Apr,178,,0-0,0-0,0-0,2-Jan,7-Jul,3-Sep
,,,,,(17-12-0),,,,,,,(8-3-0),,(8-6-0),,(1-3-0),,,(13-6-0),,(4-6-0),,,(0-0-0),(0-0-0),(0-0-0),(1-2-0),(7-7-0),(9-3-0)
,157,Rhode_Island,Atlantic 10,,17-13,173,,192,133,259,,13-3,159,9-Jan,167,1-Mar,242,,12-Jul,148,1-Oct,216,,0-0,0-1,0-1,3-Mar,4-May,5-Sep
,,,,,(16-12-2),,,,,,,(13-3-0),,(0-8-2),,(3-1-0),,,(6-12-1),,(10-0-1),,,(0-0-0),(0-1-0),(0-1-0),(3-3-0),(5-4-0),(8-4-2)
,158,James_Madison,Sun Belt,,18-12,187,,220,132,205,,2-Nov,189,8-May,210,2-Feb,108,,13-6,222,6-May,127,,0-0,0-1,0-1,3-Feb,6-Jun,2-Oct
,,,,,(18-11-1),,,,,,,(11-2-0),,(5-7-1),,(2-2-0),,,(13-5-1),,(5-6-0),,,(0-0-0),(0-1-0),(0-1-0),(2-3-0),(6-6-0),(10-1-1)
,159,S_Carolina_St,Mid-Eastern,,17-13,252,,321,165,227,,2-Aug,284,10-Jul,230,1-Feb,272,,13-4,296,9-Apr,196,,0-0,0-2,0-2,0-1,6-Jan,16-4
,,,,,(16-12-2),,,,,,,(8-2-0),,(6-9-2),,(2-1-0),,,(12-3-2),,(4-9-0),,,(0-0-0),(0-2-0),(0-2-0),(0-1-0),(1-5-1),(15-4-1)
,160,Central_Conn,Northeast,,23-7,283,,298,233,---,,3-Nov,308,3-Dec,266,0-1,197,,16-3,322,4-Jul,215,,0-0,0-0,0-0,1-Jan,2-Jan,21-4
,,,,,(23-7-0),,,,,,,(11-3-0),,(12-3-0),,(0-1-0),,,(16-3-0),,(7-4-0),,,(0-0-0),(0-0-0),(0-0-0),(1-1-0),(1-2-0),(21-4-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,Marshall,Sun Belt,,18-13,214,,245,175,142,,3-Dec,226,9-May,207,1-Jan,178,,13-7,222,6-May,201,,0-1,0-0,0-1,3-Jan,4-May,5-Dec
,,,,,(18-12-1),,,,,,,(12-3-0),,(5-8-1),,(1-1-0),,,(13-6-1),,(5-6-0),,,(0-1-0),(0-0-0),(0-1-0),(1-3-0),(5-3-1),(12-5-0)
,162,Merrimack,Metro Atlantic Athletic,,18-15,227,,274,175,247,,6-Aug,261,8-Sep,201,1-Jan,219,,15-7,270,8-Mar,143,,0-1,0-1,0-2,3-Jan,2-Jan,16-8
,,,,,(16-15-2),,,,,,,(8-6-0),,(8-8-1),,(0-1-1),,,(13-7-2),,(3-8-0),,,(0-1-0),(0-1-0),(0-2-0),(1-3-0),(1-2-0),(14-8-2)
,163,UC_Santa_Barbara,Big West,,19-13,211,,266,131,---,,5-Oct,228,8-Jul,195,Feb-00,201,,13-10,193,3-Jun,258,,0-0,0-3,0-3,0-2,5-May,14-3
,,,,,(19-13-0),,,,,,,(10-5-0),,(7-8-0),,(2-0-0),,,(13-10-0),,(6-3-0),,,(0-0-0),(0-3-0),(0-3-0),(0-2-0),(5-5-0),(14-3-0)
,164,Cornell,Ivy League,,16-11,216,,252,164,---,,5-Jul,216,5-Aug,226,1-Jan,153,,6-Oct,235,5-Jun,190,,0-0,0-0,0-0,0-3,3-Feb,14-5
,,,,,(16-11-0),,,,,,,(7-5-0),,(8-5-0),,(1-1-0),,,(10-6-0),,(6-5-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(2-3-0),(14-5-0)
,165,Montana_St,Big Sky,,14-18,199,,260,154,126,,3-Oct,233,14-Mar,178,1-Jan,166,,10-Oct,228,8-Apr,152,,0-1,0-0,0-1,0-3,8-Jan,13-6
,,,,,(14-17-1),,,,,,,(10-2-1),,(3-14-0),,(1-1-0),,,(10-10-0),,(4-7-1),,,(0-1-0),(0-0-0),(0-1-0),(0-3-0),(1-7-1),(13-6-0)
,166,FGCU,Atlantic Sun,,17-14,212,,266,148,---,,5-Oct,235,9-Jul,191,0-0,---,,13-6,250,8-Apr,153,,0-0,0-0,0-0,0-5,6-Apr,13-3
,,,,,(17-14-0),,,,,,,(10-5-0),,(7-9-0),,(0-0-0),,,(13-6-0),,(4-8-0),,,(0-0-0),(0-0-0),(0-0-0),(0-5-0),(4-6-0),(13-3-0)
,167,Drexel,Colonial Athletic,,17-15,211,,249,172,158,,6-Jul,172,7-Jul,239,2-Mar,236,,10-Oct,201,5-Jul,229,,0-0,0-0,0-0,0-2,8-May,5-Dec
,,,,,(17-12-3),,,,,,,(7-4-2),,(7-6-1),,(3-2-0),,,(10-7-3),,(7-5-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-1),(5-7-1),(12-4-1)
,168,Winthrop,Big South,,20-11,213,,255,132,300,,13-2,247,8-May,183,1-Feb,172,,13-6,220,5-Jul,200,,0-1,0-0,0-1,0-5,2-Jan,19-3
,,,,,(19-11-1),,,,,,,(12-2-1),,(5-8-0),,(2-1-0),,,(12-6-1),,(7-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-5-0),(1-2-0),(18-3-1)
,169,E_Kentucky,Atlantic Sun,,16-14,209,,238,162,280,,3-Aug,241,9-Jul,187,2-Jan,208,,7-Dec,237,7-Apr,161,,0-2,0-0,0-2,2-Feb,6-Apr,4-Oct
,,,,,(14-13-3),,,,,,,(7-3-1),,(6-8-2),,(1-2-0),,,(10-6-3),,(4-7-0),,,(0-2-0),(0-0-0),(0-2-0),(2-2-0),(4-6-0),(8-3-3)
,170,UTEP,Conference USA,,15-15,158,,189,128,115,,5-Aug,164,8-Apr,140,2-Mar,186,,12-Aug,152,3-Jul,170,,0-1,0-0,0-1,2-Feb,11-Jun,1-Jul
,,,,,(15-14-1),,,,,,,(8-4-1),,(4-8-0),,(3-2-0),,,(8-11-1),,(7-3-0),,,(0-1-0),(0-0-0),(0-1-0),(2-2-0),(6-10-1),(7-1-0)
,171,Oakland,Horizon League,,15-18,187,,239,131,223,,4-Aug,236,11-Jun,174,3-Jan,93,,13-10,220,8-Feb,111,,0-3,0-2,0-5,0-1,8-May,4-Oct
,,,,,(12-15-6),,,,,,,(6-4-2),,(5-10-2),,(1-1-2),,,(10-9-4),,(2-6-2),,,(0-3-0),(0-2-0),(0-5-0),(0-0-1),(4-7-2),(8-3-3)
,172,Cal_Poly,Big West,,15-19,180,,255,123,174,,5-Aug,207,14-May,159,Feb-00,201,,13-Oct,193,6-May,151,,0-1,0-2,0-3,5-Jan,8-Mar,3-Nov
,,,,,(13-17-4),,,,,,,(6-4-3),,(5-13-1),,(2-0-0),,,(9-12-2),,(4-5-2),,,(0-1-0),(0-2-0),(0-3-0),(1-4-1),(2-7-2),(10-3-1)
,173,Cleveland_St,Horizon League,,18-12,210,,246,154,171,,4-Nov,234,7-Jul,186,0-1,186,,15-7,220,5-Mar,182,,0-0,0-1,0-1,0-2,6-Jun,3-Dec
,,,,,(18-11-1),,,,,,,(11-4-0),,(7-6-1),,(0-1-0),,,(15-6-1),,(3-5-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(6-5-1),(12-3-0)
,174,WKU,Conference USA,,15-15,150,,170,132,132,,5-Nov,153,9-Apr,136,0-1,275,,11-Aug,160,4-Jul,132,,0-1,0-1,0-2,2-Feb,8-Aug,3-May
,,,,,(14-15-1),,,,,,,(10-5-1),,(4-9-0),,(0-1-0),,,(8-11-0),,(6-4-1),,,(0-1-0),(0-1-0),(0-2-0),(2-2-0),(7-8-1),(5-3-0)
,175,TAM_C._Christi,Southland,,15-14,223,,281,161,---,,2-Nov,256,11-Mar,186,1-Jan,266,,9-Dec,240,5-Mar,178,,0-2,0-1,0-3,0-2,4-Jan,14-5
,,,,,(15-14-0),,,,,,,(11-2-0),,(3-11-0),,(1-1-0),,,(12-9-0),,(3-5-0),,,(0-2-0),(0-1-0),(0-3-0),(0-2-0),(1-4-0),(14-5-0)
,176,Ohio,Mid-American,,15-16,206,,240,177,162,,3-Nov,223,10-Mar,188,3-Jan,206,,9-Oct,219,7-May,187,,0-0,0-1,0-1,1-Jan,7-Mar,7-Nov
,,,,,(15-14-2),,,,,,,(11-3-0),,(3-10-0),,(1-1-2),,,(10-8-1),,(5-6-1),,,(0-0-0),(0-1-0),(0-1-0),(1-1-0),(3-6-1),(11-6-1)
,177,Radford,Big South,,18-13,205,,265,128,182,,3-Aug,229,9-Jul,186,1-Mar,214,,8-Oct,221,5-Aug,183,,0-1,0-1,0-2,0-6,1-Mar,15-4
,,,,,(17-13-1),,,,,,,(7-3-1),,(7-9-0),,(3-1-0),,,(10-8-0),,(7-5-1),,,(0-1-0),(0-1-0),(0-2-0),(0-6-0),(2-1-1),(15-4-0)
,178,IL_Chicago,Missouri Valley,,15-14,157,,169,139,192,,5-Jul,159,6-Jul,146,3-Jan,186,,11-Oct,158,3-May,155,,0-0,0-0,0-0,3-Mar,9-Mar,2-Sep
,,,,,(12-14-3),,,,,,,(5-5-2),,(6-6-1),,(1-3-0),,,(9-11-1),,(3-3-2),,,(0-0-0),(0-0-0),(0-0-0),(3-3-0),(2-9-1),(7-2-2)
,179,PFW,Horizon League,,16-13,205,,242,158,213,,2-Oct,231,10-May,189,1-Jan,172,,9-Dec,220,4-Apr,167,,0-0,0-1,0-1,0-2,7-Jun,3-Oct
,,,,,(15-12-2),,,,,,,(10-2-0),,(4-9-2),,(1-1-0),,,(11-8-2),,(4-4-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(6-7-0),(9-2-2)
,180,East_Carolina,American Athletic,,17-14,173,,217,127,168,,6-Oct,180,7-Apr,150,1-Mar,209,,9-Nov,159,5-Jun,198,,0-0,0-1,0-1,4-Feb,7-Jul,2-Aug
