Year,Team,Index,tournamentSeed,bartTorvik_Rk,bartTorvik_Conf,bartTorvik_G,bartTorvik_Wins_Overall,bartTorvik_AdjOE,bartTorvik_AdjDE,bartTorvik_Barthag,bartTorvik_EFG%,bartTorvik_EFGD%,bartTorvik_TOR,bartTorvik_TORD,bartTorvik_ORB,bartTorvik_DRB,bartTorvik_FTR,bartTorvik_FTRD,bartTorvik_2P%,bartTorvik_2P%D,bartTorvik_3P%,bartTorvik_3P%D,bartTorvik_3PR,bartTorvik_3PRD,bartTorvik_Adj T.,bartTorvik_WAB,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank,BPI,BPI_Rank,BPI_Off,BPI_Def,masseyComposite_Rank,tournamentOutcome,elite8_flag
2008,Indiana,129,8.0,341.1786833855799,,32,25,113.722,93.439,0.905821,52.471,46.945,20.2107,19.9236,36.158,28.931,42.729,30.047,52.637,44.846,34.6184,33.894,34.8157,35.7221,68.6121,4.717,331.64444444444445,18.43,114.6,333.66666666666663,96.1,319.0229885057471,66.2,230.63360881542695,0.037,277.38243626062325,6.28,300.1225626740947,106.6,289.3850415512465,100.3,304.8627450980392,-2.3,142.3463687150838,12.6,342.8501529051988,8.5,4.1,352.868501529052,R64,0
2008,Arizona,11,10.0,340.0376175548589,,32,18,115.213,95.055,0.901722,53.933,48.31,18.638,19.1278,28.0304,33.6209,40.274,30.856,51.365,47.5127,39.615,33.788,32.122,28.018,65.325,1.536,338.5777777777778,19.14,116.4,352.0833333333333,97.3,299.14942528735634,63.5,125.34435261707988,-0.079,28.872521246458923,12.72,364.0,110.3,364.0,97.6,364.0,8.75,352.8156424581005,10.7,332.83180428134557,6.6,4.1,338.3975535168196,R64,0
2008,Notre Dame,226,5.0,338.8965517241379,,31,24,115.711,95.665,0.899923,52.856,46.945,18.228,17.6322,36.641,31.093,34.8228,22.83,48.4169,44.742,41.03,34.1111,33.5182,33.3133,70.745,4.42,337.4222222222222,19.07,114.6,336.9166666666667,95.6,320.0689655172414,69.5,329.90633608815426,0.042,290.78753541076486,6.88,310.26183844011143,107.5,316.60941828254846,100.6,297.7254901960784,-7.02,45.75418994413408,12.2,338.3975535168196,10.6,1.6,327.26605504587155,R32,0
2008,Pittsburgh,241,4.0,337.7554858934169,,34,25,116.29,96.069,0.899724,51.1118,48.083,18.432,21.0171,39.79,34.1232,36.7168,29.139,51.071,47.3121,34.3197,32.857,30.3264,34.7183,65.2255,5.211,339.73333333333335,19.91,116.5,354.25,96.6,308.5632183908046,63.9,143.39393939393938,0.027,257.79036827195466,9.52,348.7910863509749,107.8,320.6426592797784,98.3,359.921568627451,-1.69,164.7150837988827,13.3,343.9633027522936,7.2,6.0,351.75535168195717,R32,0
2008,Connecticut,62,4.0,336.61442006269596,,32,24,114.516,94.651,0.899025,50.8132,44.08,19.461,17.4327,39.311,34.3239,48.63,23.86,49.7113,40.12,35.9128,34.8146,25.2331,32.4105,69.298,4.321,333.9555555555555,18.9,115.2,341.25,96.3,313.7931034482758,67.1,263.7245179063361,-0.001,189.73371104815865,7.67,319.38718662952647,107.7,319.63434903047096,100.0,315.05882352941177,-1.27,183.01675977653633,12.3,340.6238532110092,8.5,3.8,325.03975535168195,R64,0
2008,Gonzaga,108,7.0,335.47335423197495,,32,25,112.234,92.836,0.898426,54.326,45.322,20.5135,21.7139,34.5103,29.651,40.274,31.976,53.618,43.623,37.283,32.136,31.4236,37.1247,68.3129,2.232,336.2666666666667,19.05,114.5,332.5833333333333,95.5,322.1609195402299,65.9,224.61707988980717,-0.029,112.39660056657225,2.57,251.4540389972145,104.0,216.78670360110803,101.5,274.27450980392155,7.71,342.6480446927374,11.0,335.0581039755352,8.1,2.9,339.5107033639144,R64,0
2008,USC,339,6.0,334.33228840125395,,32,21,108.368,89.711,0.896627,53.54,44.513,22.0219,20.0225,31.2235,34.4242,38.2124,27.419,51.95,43.929,38.44,30.41,28.0305,34.9189,67.6152,3.625,332.8,18.67,110.5,301.16666666666663,91.9,351.44827586206895,65.2,198.54545454545453,-0.005,175.2974504249292,11.18,361.97214484679665,109.7,362.99168975069256,98.5,356.8627450980392,0.4,228.7709497206704,12.0,337.2844036697248,4.9,7.1,330.60550458715596,R64,0
2008,Davidson,67,10.0,333.19122257053294,,31,25,111.042,92.224,0.894228,54.422,48.4103,17.717,24.136,32.6171,27.68,25.4337,37.7189,54.68,46.489,36.1117,34.5129,40.051,37.2253,69.0103,1.634,352.44444444444446,23.61,117.0,355.3333333333333,93.4,339.9425287356322,66.2,231.63636363636363,-0.036,96.92917847025495,3.36,261.5933147632312,105.2,259.13573407202216,101.8,266.11764705882354,14.93,364.0,14.8,352.868501529052,9.5,5.3,299.43730886850153,Elite Eight,1
2008,Purdue,248,6.0,332.0501567398119,,32,24,108.863,90.513,0.892429,49.0199,48.9123,19.461,26.66,32.8166,31.093,37.6136,42.4286,45.3282,47.2116,37.087,35.0162,36.1118,31.475,68.2131,3.824,330.4888888888889,18.3,110.5,300.0833333333333,92.2,348.3103448275862,66.9,257.70798898071627,-0.025,123.73937677053824,6.41,302.15041782729804,106.2,278.2936288088643,99.7,328.3137254901961,-3.61,95.5754189944134,9.9,328.37920489296636,3.9,6.0,298.32415902140673,R32,0
2008,Butler,35,7.0,330.9090909090909,,32,29,114.417,95.563,0.88813,54.128,48.083,16.98,22.877,29.7275,31.6122,36.8165,31.263,52.048,47.9139,37.664,32.136,48.65,31.371,61.2328,4.815,342.0444444444444,19.97,116.2,349.9166666666667,96.2,315.88505747126436,59.5,36.09917355371901,0.002,199.014164305949,2.79,253.48189415041784,104.3,230.90304709141276,101.5,273.2549019607843,5.43,324.3463687150838,12.5,341.73700305810394,3.3,9.2,342.8501529051988,R32,0
