,Seed,Team,VEGsemble_Prob Rank,VEGsemble_Prob,VEGsemble Q,Golden Ratio,VEGsemble,Avg,smoothPtsT,AdjAvg,histAdjAvg,Floor,Ceiling
18,5,Memphis,43.0,0.0458694385795274,Q6,0,2,1.2,0.6320454545454546,1.8320454545454545,1.822969646721529,1.822969646721529,3.645939293443058
19,5,Michigan,23.0,0.125434770858314,Q3,2,2,2.0,0.6320454545454546,2.6320454545454544,2.619006510195016,2.619006510195016,5.238013020390032
20,6,BYU,26.0,0.1076322837442233,Q3,0,9,5.3999999999999995,-1.0745454545454545,4.325454545454545,4.3040265868259695,4.3040265868259695,8.608053173651939
21,6,Missouri,22.0,0.1381064805721934,Q3,2,2,2.0,-1.0745454545454545,0.9254545454545455,0.9208699170636481,0.9208699170636481,1.8417398341272961
22,6,Mississippi,45.0,0.039572102894394,Q6,0,0,0.0,-1.0745454545454545,-1.0745454545454545,-1.0692222416200705,-1.0692222416200705,-2.138444483240141
23,6,Illinois,24.0,0.123843429487961,Q3,9,2,4.8,-1.0745454545454545,3.7254545454545456,3.706998939220854,3.706998939220854,7.413997878441708
24,7,Kansas,25.0,0.1219340347433988,Q3,2,0,0.8,3.716363636363636,4.516363636363636,4.493989929245778,4.493989929245778,8.987979858491556
25,7,Saint Mary's,21.0,0.1426504002280345,Q3,2,2,2.0,3.716363636363636,5.716363636363636,5.68804522445601,5.68804522445601,11.37609044891202
26,7,Marquette,30.0,0.0897219505735733,Q4,2,0,0.8,3.716363636363636,4.516363636363636,4.493989929245778,4.493989929245778,8.987979858491556
27,7,UCLA,20.0,0.1483841309194278,Q3,2,2,2.0,3.716363636363636,5.716363636363636,5.68804522445601,5.68804522445601,11.37609044891202
28,8,Connecticut,41.0,0.0545201616484467,Q5,2,2,2.0,3.0850000000000004,5.085000000000001,5.059809313453355,5.059809313453355,10.11961862690671
29,8,Louisville,17.0,0.1594373099925872,Q2,0,2,1.2,3.0850000000000004,4.285,4.263772449979867,4.263772449979867,8.527544899959734
30,8,Mississippi State,34.0,0.0686003798697935,Q4,0,0,0.0,3.0850000000000004,3.0850000000000004,3.0697171547696365,3.0697171547696365,6.139434309539273
31,8,Gonzaga,16.0,0.1882085719490617,Q2,2,2,2.0,3.0850000000000004,5.085000000000001,5.059809313453355,5.059809313453355,10.11961862690671
32,9,Oklahoma,36.0,0.062708512394727,Q5,0,0,0.0,1.9245454545454548,1.9245454545454548,1.9150114090606511,1.9150114090606511,3.8300228181213023
33,9,Baylor,47.0,0.0374258674858983,Q6,3,3,3.0,1.9245454545454548,4.924545454545455,4.900149647086229,4.900149647086229,9.800299294172458
34,9,Creighton,29.0,0.0913076107961888,Q4,3,0,1.2000000000000002,1.9245454545454548,3.124545454545455,3.1090667042708824,3.1090667042708824,6.218133408541765
35,9,Georgia,31.0,0.0779918990513786,Q4,0,0,0.0,1.9245454545454548,1.9245454545454548,1.9150114090606511,1.9150114090606511,3.8300228181213023
36,10,Arkansas,39.0,0.0590814743733718,Q5,0,17,10.2,0.4013043478260868,10.601304347826087,10.548786327214154,10.548786327214154,21.09757265442831
37,10,Vanderbilt,40.0,0.0563587228811748,Q5,0,0,0.0,0.4013043478260868,0.4013043478260868,0.39931631792718947,0.39931631792718947,0.7986326358543789
38,10,New Mexico,42.0,0.0500975685688292,Q5,0,5,3.0,0.4013043478260868,3.4013043478260867,3.3844545559527672,3.3844545559527672,6.7689091119055345
39,10,Utah State,54.0,0.028432754714604,Q7,0,0,0.0,0.4013043478260868,0.4013043478260868,0.39931631792718947,0.39931631792718947,0.7986326358543789
40,11,North Carolina,18.0,0.1556915800801878,Q3,8,20,15.2,3.981311475409836,19.181311475409835,19.08628878024157,19.08628878024157,38.17257756048314
41,11,Drake,38.0,0.0599310632551251,Q5,0,0,0.0,3.981311475409836,3.981311475409836,3.9615883742453106,3.9615883742453106,7.923176748490621
42,11,San Diego State,61.0,0.0172371052094997,Q8,0,0,0.0,3.981311475409836,3.981311475409836,3.9615883742453106,3.9615883742453106,7.923176748490621
43,11,VCU,27.0,0.1054878521079774,Q4,7,0,2.8000000000000003,3.981311475409836,6.7813114754098365,6.747717396402517,6.747717396402517,13.495434792805034
44,11,Texas,33.0,0.0695898446799651,Q4,0,0,0.0,3.981311475409836,3.981311475409836,3.9615883742453106,3.9615883742453106,7.923176748490621
45,11,Xavier,32.0,0.0719269078382638,Q4,1,1,1.0,3.981311475409836,4.981311475409836,4.95663445358717,4.95663445358717,9.91326890717434
46,12,UC San Diego,48.0,0.0369177729251646,Q6,0,0,0.0,2.6956521739130435,2.6956521739130435,2.6822981269215336,2.6822981269215336,5.364596253843067
47,12,Colorado State,51.0,0.0312042863127653,Q6,9,0,3.6,2.6956521739130435,6.2956521739130435,6.264464012552227,6.264464012552227,12.528928025104454
48,12,Liberty,55.0,0.0262043156302253,Q7,0,9,5.3999999999999995,2.6956521739130435,8.095652173913043,8.055546955367573,8.055546955367573,16.111093910735146
49,12,McNeese State,65.0,0.0148039123888866,Q8,0,0,0.0,2.6956521739130435,2.6956521739130435,2.6822981269215336,2.6822981269215336,5.364596253843067
50,13,Yale,59.0,0.0194016282463118,Q7,0,0,0.0,1.2966666666666666,1.2966666666666666,1.2902430828799443,1.2902430828799443,2.5804861657598885
51,13,Grand Canyon,50.0,0.0316165061887546,Q6,0,0,0.0,1.2966666666666666,1.2966666666666666,1.2902430828799443,1.2902430828799443,2.5804861657598885
52,13,Akron,63.0,0.0156953467732562,Q8,0,0,0.0,1.2966666666666666,1.2966666666666666,1.2902430828799443,1.2902430828799443,2.5804861657598885
53,13,High Point,46.0,0.0390935536251237,Q6,0,0,0.0,1.2966666666666666,1.2966666666666666,1.2902430828799443,1.2902430828799443,2.5804861657598885
54,14,Lipscomb,52.0,0.0303873176268874,Q7,0,0,0.0,1.3247727272727272,1.3247727272727272,1.3182099082917493,1.3182099082917493,2.6364198165834987
