Year,Team,Index,masseyComposite_Rank
2026,Rutgers,258,131
2026,S Carolina St,281,360
2026,S Dakota St,283,201
2026,S Illinois,289,158
2026,SC Upstate,340,274
2026,SE Louisiana,287,292
2026,SE Missouri St,286,270
2026,SF Austin,299,97
2026,SIUE,259,259
2026,SMU,260,30
2026,SUNY Albany,7,314
2026,Sacred Heart,262,298
2026,Sam Houston State,268,119
2026,Samford,269,253
2026,San Diego,270,222
2026,San Diego St,271,42
2026,San Francisco,272,105
2026,San Jose State,273,235
2026,Santa Clara,274,43
2026,Seattle,276,113
2026,Seton Hall,277,45
2026,Siena,278,192
2026,South Alabama,279,186
2026,South Carolina,280,95
2026,South Dakota,282,272
2026,South Florida,284,87
2026,Southern Indiana,291,345
2026,Southern Miss,292,221
2026,Southern Univ,288,258
2026,Southern Utah,293,304
2026,St Bonaventure,294,144
2026,St Francis PA,263,354
2026,St John's,296,20
2026,St Joseph's PA,264,172
2026,St Louis,265,24
2026,St Mary's CA,266,33
2026,St Peter's,267,210
2026,St Thomas MN,297,128
2026,Stanford,298,55
2026,Stetson,300,323
2026,Stonehill,301,343
2026,Stony Brook,302,240
2026,Syracuse,303,74
2026,TAM C. Christi,314,182
2026,TCU,304,57
2026,TN Martin,309,163
2026,TX Southern,315,344
2026,Tarleton State,305,176
2026,Temple,307,147
2026,Tennessee,308,27
2026,Tennessee State,310,216
2026,Tennessee Tech,311,335
2026,Texas,312,50
2026,Texas A&M,313,37
2026,Texas State,316,251
2026,Texas Tech,317,16
2026,Toledo,319,159
2026,Towson,320,173
2026,Troy,321,103
2026,Tulane,322,166
2026,Tulsa,323,65
2026,UAB,324,118
2026,UC Davis,325,160
2026,UC Irvine,326,126
2026,UC Riverside,327,268
2026,UC San Diego,328,104
2026,UC Santa Barbara,329,165
2026,UCF,330,32
2026,UCLA,331,47
2026,ULM,157,359
2026,UMBC,332,281
2026,UNC Asheville,335,254
2026,UNC Greensboro,336,303
2026,UNC Wilmington,337,100
2026,UNLV,338,135
2026,USC,339,40
2026,UT Arlington,342,132
2026,UT San Antonio,345,339
2026,UTEP,344,278
2026,UTRGV,343,220
2026,Utah,346,106
2026,Utah St,347,26
2026,Utah Tech,348,211
2026,Utah Valley,349,82
2026,VCU,350,58
2026,VMI,351,347
2026,Valparaiso,352,174
2026,Vanderbilt,353,13
2026,Vermont,354,207
2026,Villanova,355,28
2026,Virginia,356,14
2026,Virginia Tech,357,48
2026,W Carolina,366,280
2026,W Illinois,367,357
2026,W Michigan,369,248
2026,WI Green Bay,111,213
2026,WI Milwaukee,182,243
2026,WKU,368,152
2026,Wagner,358,338
2026,Wake Forest,359,63
2026,Washington,360,60
2026,Washington State,361,151
2026,Weber St,363,200
2026,West Georgia,364,295
2026,West Virginia,365,61
2026,Wichita St,370,112
2026,William & Mary,371,136
2026,Winthrop,373,140
2026,Wisconsin,374,35
2026,Wofford,376,208
2026,Wright St,377,129
2026,Wyoming,378,102
2026,Xavier,379,83
2026,Yale,380,78
2026,Youngstown State,381,247
